,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
1618,2130122,밤나무골시장,22421,210709,125405,152535,209825,79423
1619,2130040,남평화시장,6411921,91532104,68699481,79020135,108138846,38374083
1620,2130284,관악종합시장(신원시장),8057468,117759928,47350763,54652412,114984638,54451622
1621,2130269,강남시장(동작구 강남시장),336172,6406298,2945363,3217359,5583048,2746132
1622,2130023,남대문로 지하상가(남대문지하쇼핑센터),1669631,101300171,43006225,50668030,96059612,24611890
1623,2130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),1701096,30293443,11443897,12069427,21726131,9046973
1624,2130045,광희패션몰,8819329,130614596,88611138,101587855,146825702,53304333
1625,2130176,유진상가,1657718,34747909,16055729,17959786,29500542,10734207
1626,2130017,동대문상가C동,5189956,78941914,68807609,77985914,80892260,24845292
1627,2130175,신촌 상인회(신촌상점가),3102676,55859742,42944534,48437246,81834283,37958882
1628,2130205,신곡종합시장(신월6동 골목시장),21177,170858,85433,98990,153909,60906
1629,2130209,목사랑시장(목4동시장),13913,153854,68797,87539,129270,62089
1630,2130081,자양골목전통시장(자양골목시장),13639,140811,66874,77726,122873,49777
1631,2130036,중부시장(신중부시장),3214123,69709486,41464197,49464445,83676409,26853969
1632,2130093,동서시장,75234,498032,395153,457769,517989,170760
1633,2130234,푸른터시장(기능상실),40052,234205,96355,110104,187565,71615
1634,2130295,인헌시장(원당종합시장),1968935,34986064,14036542,15554873,31365829,15287335
1635,2130172,모래내시장(서중시장),378681,9423722,4212405,4783838,7537584,2424073
1636,2130286,신신림시장(삼성동시장),145705,1821607,918475,1048252,1748236,678551
1637,2130139,강북종합전통시장(강북종합골목시장),61160,412850,221731,253695,362832,143517
1638,2130214,송화벽화시장(송화골목시장),1224803,27993381,12212021,14286474,23770075,9237555
1639,2130052,서울중앙시장(신중앙시장),2431683,39248980,20030817,22698446,38844528,14998390
1640,2130110,면목골목시장(면목시장),1859862,29474731,12339474,14154529,27217948,10244562
1641,2130227,고척골목시장상점가(그라운드 고척),9863,113446,60029,71023,103007,40659
1642,2130288,신림현대종합상가,200471,2666412,1247649,1401364,2383217,946645
1643,2130162,증산골목시장,403872,5698908,2296721,2590813,4662352,2093942
1644,2130272,사당시장,1075473,21671653,8843569,9601628,17373113,7003070
1645,2130239,양남시장,1760138,48585343,18851217,21235521,44190745,13727358
1646,2130115,우림골목시장,1072037,14511522,7211565,8050900,13229901,4235338
1647,2130143,방천골목시장,2564087,51541111,24387099,29229993,51938789,18649564
1648,2130029,명동역지하도상가,777264,42074600,32657162,39874962,62440440,23355008
1649,2130248,영등포역지하도상점가,3641117,61748952,44183710,53365631,90951109,29706646
1650,2130042,약수시장,1581550,29811730,14557720,16378151,28544123,10628001
1651,2130238,은행나무시장,20069,172121,92957,109989,146736,55696
1652,2130219,까치산시장,3735785,55602006,20595983,23404573,47642059,19643503
1653,2130068,마장축산물시장,55469,908680,561633,656977,898754,298318
1654,2130226,고척프라자,16204,164919,88112,104682,155071,63126
1655,2130119,정릉아리랑시장,246294,5272487,2682737,2987792,4686202,1483724
1656,2130325,명일전통시장,1074983,19458191,8904509,9756796,17279612,6432399
1657,2130159,공릉동 도깨비시장,2600620,29990445,14102880,15945402,28384788,11617622
1658,2130090,청량리종합시장,79598,541279,417383,480880,541697,177244
1659,2130142,강북북부시장,69271,399334,228007,271258,418589,177899
1660,2130085,용두시장,960154,27113934,28043884,29390791,22627233,5350278
1661,2130050,청평화시장,7577674,118013308,88702053,100526108,119532110,39745424
1662,2130170,제일시장,2056065,40448409,21791576,25391280,39673262,13727777
1663,2130092,청량리농수산물시장,75234,498032,395153,457769,517989,170760
1664,2130099,전농로터리시장,13601,173870,83685,106441,146020,53144
1665,1001492,명동 남대문 북창동 다동 무교동 관광특구,2993817,169088429,70110619,83167515,174645620,48835007
1666,1001493,동대문패션타운 관광특구,8785344,130530670,88544804,101514053,146744697,53262325
1667,1001494,종로?청계 관광특구,3240741,134869983,110409323,121403527,164998548,45423605
1668,1001495,잠실 관광특구,175524,4814812,2344928,2677435,4505535,1509493
1669,1001496,강남 마이스 관광특구,1009052,45394965,22857691,26916689,49260390,13938022
1670,1001491,이태원 관광특구,2167131,15746744,11699105,15748556,30145042,16080248
