,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
1240,3,골목상권,2111002,한국교통안전공단 강남자동차검사소,5,,,,,,,,,
1241,3,골목상권,2110680,온수역 5번(온수산업단지),10,,,,,,,,,
1242,3,골목상권,2111011,잠실나루역,16,,3.0,,,,,,,
1243,3,전통시장,2130059,후암시장,11,,,,,,,,,
1244,3,골목상권,2110423,석계역 2번,21,,,,,,,,,
1245,3,전통시장,2130155,시영B상가(중계 그린아파트 B 상가),3,,,,,,,,,
1246,3,골목상권,2110001,이북5도청사,12,1.0,,,,,,,,
1247,3,골목상권,2110023,서울대병원,10,,,,,,,,,
1248,3,골목상권,2110221,의릉,8,,,2.0,,,,,,
1249,3,골목상권,2110412,창동중학교,3,,,,,,,,,
1250,3,전통시장,2130020,동묘시장(동묘벼룩시장),6,1.0,,,,,,,,
1251,3,골목상권,2110866,난우중학교,10,1.0,,,,,,,,
1252,3,골목상권,2110767,도림동주민센터,6,1.0,,,,,,,,
1253,3,골목상권,2110567,광흥창역 6번,7,1.0,1.0,,,,,,,
1254,3,전통시장,2130192,동진시장,1,,,,,,,,,
1255,3,골목상권,2110781,대림한신아파트,6,,,,,,,,,
1256,3,골목상권,2110520,경의중앙 신촌역,6,,,,,,,,,
1257,3,골목상권,2110536,돈의문센트레빌아파트입구,3,,,,,,,,,
1258,3,골목상권,2110353,수유동우체국,14,1.0,,,,,,,,
1259,3,골목상권,2110351,수유북부시장옆,3,1.0,,,,,,,,
1260,3,골목상권,2110311,종암아이파크2차후문,8,,,,,,,,,
1261,3,골목상권,2110083,서빙고역 1번,3,,,,,,,,,
1262,3,전통시장,2130073,뚝도시장,9,,,,,2.0,,,,
1263,3,전통시장,2130089,청량리수산시장,3,,,,,,,,,
1264,3,골목상권,2110237,메가박스 상봉,23,1.0,,,,,,,,
1265,3,전통시장,2130066,행당시장상점가,27,1.0,1.0,,,1.0,,,,
1266,3,골목상권,2111010,석촌역 7번,7,,,,,,,,,
1267,3,골목상권,2110966,논현2동주민센터,5,,,,,,,,,
1268,3,골목상권,2110692,큰굴다리,5,,,,,,,,,
1269,3,골목상권,2110498,증산역 1번,5,,,,,,,,,
1270,3,골목상권,2110998,은곡마을(은곡마을공원),16,,,,,,,,,
1271,3,골목상권,2110696,오류동역 1번,8,,,,,,,,,
1272,3,골목상권,2110684,서울공연예술고등학교,12,,,,,,,,,
1273,3,발달상권,2120137,문래역(문래로데오거리),14,,,,,,,,,
1274,3,골목상권,2110108,성동구립금호도서관,10,1.0,,,,,,,,
1275,3,발달상권,2120118,마곡역(마곡),36,,6.0,,,,,,,
1276,3,골목상권,2110430,중계초등학교,11,,,,,,,,,
1277,3,전통시장,2130153,창동역상점가,15,,,,,,,,,
1278,3,골목상권,2110204,간데메공원,18,1.0,1.0,,,,,,,
1279,3,골목상권,2110193,고려대역 4번,11,1.0,,,,,,,,
1280,3,전통시장,2130088,경동시장,15,,2.0,,,3.0,,,,
1281,3,골목상권,2110393,국민은행방학지점,14,,1.0,,,,,,,
1282,3,골목상권,2110410,방학역 2번,22,,,,,,,,,
1283,3,골목상권,2110010,평창동서측,36,1.0,,,,,,,,
1284,3,골목상권,2110018,중앙고등학교,13,1.0,,,,,,,,
1285,3,골목상권,2110969,베르사이유1아파트,4,,,,,,,,,
1286,3,골목상권,2110421,석계역 1번,20,,,,,,,,,
1287,3,골목상권,2110199,홍릉시장,16,,,,,,,,,
1288,3,골목상권,2110874,원신초등학교(구세군관악영문교회),13,,,,,,,,,
1289,3,전통시장,2130281,우림시장,4,,,,,1.0,,,,
1290,3,전통시장,2130289,봉일시장,3,,,,,,,,,
1291,3,골목상권,2110871,신원동주민센터,12,2.0,,,,,,,,
1292,3,전통시장,2130284,관악종합시장(신원시장),4,,,,,,,,,
1293,3,골목상권,2110892,관악구 중앙길,41,1.0,,,,,,,,
1294,3,골목상권,2110896,관악우성아파트,15,,,,,,5.0,,,
1295,3,골목상권,2110861,관악구신사동주민센터,25,1.0,1.0,1.0,,,,,,
1296,3,골목상권,2110784,신대림초등학교,4,,,,,,,,,
1297,3,골목상권,2110804,신풍역 1번,17,2.0,,,,,,,,
1298,3,골목상권,2110813,보라매역 6번,20,1.0,,,,1.0,,,,
1299,3,골목상권,2110809,장훈고등학교,12,,,,,,,,,
1300,3,골목상권,2110815,공군호텔,29,2.0,1.0,,,,9.0,,,
1301,3,골목상권,2110770,영등포구청역 6번,8,,,,,,,,,
1302,3,전통시장,2130240,영등포유통상가,4,,1.0,,,,,,,
1303,3,전통시장,2130183,상암동상점가,11,2.0,,,,,,,,
1304,3,골목상권,2110564,홍대입구역 3번,4,,,,,,,,,
1305,3,골목상권,2110501,연희어린이공원,7,,,,,,,,,
1306,3,골목상권,2110513,연희파출소,12,2.0,2.0,,,,,,,
1307,3,전통시장,2130175,신촌 상인회(신촌상점가),5,,,,,,,,,
1308,3,전통시장,2130179,"이화여대 3,5,7길 상점가",3,,,,,,,,,
1309,3,발달상권,2120096,"이화여대(이대역, 이대)",72,2.0,2.0,1.0,,,,,,
1310,3,골목상권,2110350,가오리역 2번,10,2.0,,,,,,,,
1311,3,골목상권,2110348,강북문화예술회관,11,,,,,,,,,
1312,3,골목상권,2110371,삼양입구사거리,13,,1.0,,,,,,,
1313,3,골목상권,2110365,미아역 5번,6,2.0,,,,,,,,
1314,3,발달상권,2120078,미아사거리역,57,1.0,1.0,,1.0,,,,,
1315,3,골목상권,2110355,삼양사거리역 2번,24,,,,,,,,,
1316,3,발달상권,2120011,종로4가,29,2.0,2.0,,,,,,,
1317,3,골목상권,2110315,종암아이파크2차,24,,,,,,,,,
1318,3,골목상권,2110296,성신여대입구역 4번,11,1.0,,,,,,,,
1319,3,골목상권,2110300,삼선동주민센터,21,4.0,1.0,1.0,,,,,,
1320,3,골목상권,2110330,돌곶이역 1번,4,,,,,,,,,
1321,3,골목상권,2110308,길음역 8번,20,,,,,,,,,
1322,3,골목상권,2110287,정릉3동주민센터,7,1.0,,1.0,,,,,,
1323,3,골목상권,2110304,보문역 4번,16,,,,,,,,,
1324,3,골목상권,2110327,상월곡역 2번,10,1.0,1.0,,,,,,,
1325,3,골목상권,2110277,러스크서울병원,16,,,,,,,,,
1326,3,골목상권,2110316,숭곡초등학교,31,,1.0,,,,,,,
1327,3,전통시장,2130107,중랑동부시장(중랑교종합상가),1,,,,,,,,,
1328,3,발달상권,2120068,사가정역,37,1.0,1.0,,,,,,,
1329,3,골목상권,2110174,아차산역 1번,9,,,,,,,,,
1330,3,골목상권,2110255,상봉역 4번,18,2.0,,,,,,,,
1331,3,전통시장,2130063,신금호역 골목형상점가,13,,,,,,,,,
1332,3,골목상권,2110137,성수초등학교,14,1.0,5.0,,,,,,,
1333,3,골목상권,2110075,숙대입구역 1번,15,1.0,,,,,,,,
1334,3,골목상권,2110093,우사단길,28,2.0,,,,1.0,,,,
1335,3,골목상권,2110056,신당역 3번,24,5.0,1.0,,,,,,,
1336,3,발달상권,2120034,중구청(퇴계로4가),13,1.0,2.0,,,,,,,
