,기준분기코드, 상권구분코드명,상권코드,상권코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수
48,1,전통시장,2130284,관악종합시장(신원시장),71158,36093,35063,4187,19622,15327,9568,8585,13868,18049,12694,7588,8516,13619,10691,9606,9514,9929,9788,9991,11150,11179
49,1,전통시장,2130283,신원시장,983804,499089,484715,59955,281413,203130,127756,127032,184519,184975,166978,121122,142749,225369,142612,133413,131889,136145,135770,139202,154229,153155
50,1,전통시장,2130282,난곡 골목형상점가,148520,71032,77488,22477,19403,19944,22373,22736,41588,37189,29804,17746,18546,26447,18792,20517,20464,20603,20293,20197,22708,23739
51,1,전통시장,2130281,우림시장,65109,31049,34060,9812,8867,9291,9857,9862,17421,18268,12534,6707,6797,11243,9559,9118,9088,9113,8994,9055,9681,10061
52,1,전통시장,2130280,신림종합시장,30075,14334,15741,2815,6737,6221,4294,3826,6181,9086,5886,2945,3091,4796,4271,4120,4150,4148,4170,4174,4559,4751
53,1,전통시장,2130279,관악신사시장,416200,198407,217794,30662,100150,80464,56271,58384,90268,122623,85712,43270,42967,64859,56769,57437,58313,58404,57053,57304,62423,65266
54,1,전통시장,2130278,미성동 도깨비시장 골목형상점가,331778,149799,181979,55174,45136,46969,53800,48368,82331,96158,68025,37481,37921,51388,40803,46208,46011,46256,45405,45895,50390,51610
55,1,전통시장,2130277,조원동 펭귄시장(신림중앙시장),248327,120859,127467,26178,53307,47589,35481,33781,51990,66616,52797,29000,27563,40140,32210,34869,34770,35259,35010,34758,36451,37209
56,1,전통시장,2130276,신림중앙시장(조원동 펭귄시장),85494,42092,43403,8192,20182,17560,12173,10635,16750,29344,18259,7634,6800,11074,12383,12187,12233,12292,12188,12180,12071,12343
57,1,전통시장,2130275,강남골목시장,217594,116309,101285,12949,43321,55264,40362,32007,33692,75352,46240,19054,17161,26977,32808,32188,32496,32549,32940,32768,27473,27181
58,1,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),416355,208039,208317,31260,101789,80874,55892,57569,88971,91652,78451,48802,53563,89741,54146,60010,58941,59650,60978,62314,59766,54696
59,1,전통시장,2130273,남성사계시장(남성시장),737604,336002,401602,121253,93405,108771,105703,115152,193321,117301,131911,104778,121279,170784,91549,103965,101941,102949,103528,106166,111142,107914
60,1,전통시장,2130272,사당시장,43592,20430,23163,5075,7775,8341,6867,5244,10292,8961,8860,5905,6457,8360,5050,6103,6123,6218,6187,6147,6427,6389
61,1,전통시장,2130271,남성역골목시장,313895,144157,169738,36693,48980,53761,52825,41661,79974,62860,57732,37793,40796,66599,48116,44095,43950,44023,44264,44210,46934,46417
62,1,전통시장,2130270,흑석시장,105735,49002,56733,13505,18352,15489,15785,15897,26708,18452,20789,15672,16619,21885,12319,15284,15161,15348,15549,15737,14776,13878
