,구상권코드,상권코드명,행정동코드
133,2110195,동대문구청,11230536
134,2110388,도봉우체국,11320680
135,2110224,외대앞역 2번,11230720
136,2110246,월드순복음교회,11260590
137,2110423,석계역 2번,11350560
138,2110271,신내역 1번,11260680
139,2110104,신금호역 4번,11200615
140,2110193,고려대역 4번,11230545
141,2110373,수유역 2번,11305590
142,2110960,은광여고,11680655
143,2111055,선사초등학교,11740580
144,2110773,당산역 13번,11560620
145,2110072,열정도,11170560
146,2110121,한양대역 4번,11200550
147,2110990,청담역 12번,11680565
148,2110797,KT대방빌딩,11560680
149,2110100,옥수동우편취급국,11200645
150,2110091,리움미술관,11170685
151,2110805,신길새마을금고신길4동지점,11560660
152,2110663,우장산롯데캐슬아파트앞,11500591
153,2110530,아현역 1번,11410555
154,2110026,종로5가역 4번,11110630
155,2110043,충무초등학교,11140580
156,2110564,홍대입구역 3번,11440660
157,2110948,헌인가구단지,11650660
158,2110238,배꽃어린이공원,11260610
159,2110914,내방역 6번,11650621
160,2110880,신림역 1번,11620645
161,2110779,대림갑을명가아파트,11560700
162,2110791,신풍역 3번,11560670
163,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),11710570
164,2110705,고산초등학교,11530720
165,2110570,KB국민은행 서강지점,11440630
166,2110921,서울프랑스학교,11650581
167,2110798,신풍역 2번,11560680
168,2110852,이수역 9번,11590620
169,2110343,무너미어린이공원,11305645
170,2110523,홍제성원아파트,11410620
171,2110200,동대문경찰서,11230705
172,2110965,언주역 6번,11680640
173,2110275,하나은행 망우동지점,11260655
174,2110298,솔숲어린이공원,11290620
175,2110347,구세군강북종합사회복지관,11305534
176,2110383,덕성여대시반거리,11320660
177,2110389,한일병원,11320680
178,2110342,국립재활원,11305660
179,2110412,창동중학교,11320690
180,2110320,KB국민은행 종암동지점,11290705
181,2110678,염창무학아파트,11500510
182,2110146,신자초등학교,11215840
183,2110073,삼각지역 3번,11170625
184,2110151,자양한강도서관,11215830
185,2110169,성동초등학교,11215830
186,2111076,둔촌2동주민센터,11740700
187,2111067,강동구립성내도서관,11740660
188,2110154,광진정말공원,11215820
189,2111058,성내중학교,11740640
190,2110783,영등포시장역 1번,11560535
191,2110143,뚝섬유원지역 1번,11215840
192,2110092,NH농협은행 보광동지점,11170700
193,2110144,어린이대공원역 4번,11215710
194,2110059,새남터성지,11170640
195,2110044,관성묘,11140580
196,2110088,오산고등학교,11170690
197,2110770,영등포구청역 6번,11560550
198,2110976,언북초등학교,11680565
199,2110155,광진구청,11215820
200,2110267,망우역 2번,11260580
201,2110600,신월7동주민센터,11470611
202,2110985,청담근린공원,11680565
203,2110756,문래중학교,11560610
204,2110129,성원어린이공원,11200660
205,2110234,중랑역 4번,11260610
206,2110045,동대문역사문화공원역 5번,11140580
207,2110398,쌍문2동우체국,11320670
208,2110704,고척중학교,11530720
209,2110981,국악고교사거리,11680690
210,2110381,번동주공2단지,11305606
211,2110977,논현로18길,11680690
212,2111082,중앙보훈병원,11740700
213,2110628,신목동역,11470520
214,2110126,서울숲역 1번,11200650
215,2110556,절두산순교성지,11440680
216,2110180,광진정보도서관,11215810
217,2110577,용강동주민센터,11440590
218,2110653,화곡역 2번,11500615
219,2110148,어린이대공원역 3번,11215710
220,2110581,염리초등학교,11440610
221,2110139,자양4동주민센터,11215847
222,2111071,천동초등학교,11740685
223,2110102,옥수역 6번,11200645
224,2110908,구반포역,11650550
225,2111041,거여역 8번,11710531
226,2110777,구로세무서,11560605
227,2110764,문래역 3번,11560550
228,2110959,신구중학교,11680545
229,2110962,도산공원북측,11680545
230,2110070,용산세무서,11170625
231,2110604,신월4동주민센터,11470590
232,2110602,신월시영아파트중문,11470611
233,2110643,강서구다솔마을,11500620
234,2110598,신월문화체육센터,11470611
235,2110729,가산동우체국,11545510
236,2110761,문래동남성맨션,11560605
237,2110784,신대림초등학교,11560700
238,2110818,신대방역 3번,11590670
239,2110553,가좌역 2번,11440730
240,2111045,개미어린이공원,11710647
241,2110461,새절역 2번,11380600
242,2110476,역촌역 2번,11380570
243,2110842,흑리단길,11590605
244,2110287,정릉3동주민센터,11290640
245,2110312,안암역 2번,11290600
246,2110494,증산3교남측,11410710
247,2110504,명지전문대,11410685
248,2110184,용두사거리,11230536
249,2110183,한국의류시험연구원,11230536
250,2110244,중화역 4번,11260610
251,2110434,태릉입구역 4번,11350595
252,2110386,연산군묘,11320710
253,2110248,먹골파출소,11260620
254,2110132,성수2가3동주민센터,11200690
255,2110145,장안초등학교,11215730
256,2111080,굽은다리역 3번,11740530
257,2110612,신정역 5번,11470650
258,2110082,용산구청,11170650
259,2110594,신월중학교,11470600
260,2110141,건대입구역 1번,11215710
261,2110103,옥수터널,11200620
262,2111078,굽은다리역 4번,11740685
263,2110644,신광명마을,11500611
264,2110096,한남힐사이드아파트,11170685
265,2110127,성수1가1동주민센터,11200650
266,2110097,한남초등학교,11170685
267,2110561,상수역 4번,11440655
268,2110264,면목역 2번,11260565
269,2110166,구의1동주민센터,11215850
270,2110136,경수초등학교,11200670
271,2110438,경춘선숲길 우측,11350600
272,2110131,성수동카페거리,11200670
273,2110566,경의선책거리,11440660
274,2110569,홍대땡땡거리,11440660
275,2110554,망원역 1번,11440660
276,2110054,청구역 3번,11140645
