,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
20,전통시장,2130293,봉천중앙시장,14392,8983,5409,1896,1435,1738,1787,2127,2979,2430,,36.0,1750,2043,7402,3161.0,8249,6143,308.0,4293.0,3132.0,2626.0,2455.0,1578.0,213919663,134390282,79529381,28080680,25147658,25255839,26071445,29834660,44703965,34825416,,470402.0,28183999,31486536,107443549,46335177.0,124665083,89254580,4739381.0,60792469.0,43734947.0,43675367.0,39391368.0,21586131.0,2.0,전통시장,55140,26388,28751.0,5405.0,13049.0,9980.0,7656.0,7251.0,11800.0,7251.0,10331,8984,9655,12883.0,6034.0,7845.0,7804.0,7709.0,7747.0,7921.0,8226.0,7888.0,154.0,2.0,,,,,,,,,,146693,1318068,742164,850486,1273698,594971
21,전통시장,2130290,영림시장,5740,3844,1896,714,742,593,808,987,930,966,,,545,1015,3344,836.0,3322,2380,57.0,2203.0,1224.0,870.0,986.0,363.0,86535865,57854838,28681027,11974778,11668021,8408792,11691509,14111738,14088250,14592777,,,10485622,14993017,49155263,11901963.0,47773017,36236452,978491.0,29812472.0,17355023.0,14510341.0,15926695.0,5426447.0,5.0,전통시장,568922,268107,300817.0,50938.0,140541.0,103321.0,67733.0,73928.0,132462.0,135101.0,115964,67084,69172,105003.0,76598.0,81180.0,81595.0,82042.0,81621.0,81701.0,80811.0,79975.0,417.0,30.0,1.0,1.0,,,1.0,,,,,148637,1851731,828512,962737,1641817,652138
22,전통시장,2130285,서원동상점가,35228,23375,11853,4519,4488,4560,4703,5105,6520,5333,3619.0,2507.0,5640,5490,11272,6700.0,18022,17206,1654.0,14726.0,8383.0,4461.0,3985.0,2019.0,312497556,207271579,105225977,40884215,39029773,39804755,41674658,45878178,57080759,48145218,34651894.0,20213082.0,45942947,46144468,106641051,58904114.0,167618201,144879355,12467535.0,130275093.0,73693373.0,42968726.0,36378861.0,16713968.0,6.0,전통시장,942447,495924,446523.0,71400.0,333680.0,192344.0,119472.0,97625.0,127928.0,131231.0,148348,126702,152403,241682.0,142083.0,124463.0,123038.0,127863.0,128952.0,140714.0,154935.0,142482.0,615.0,31.0,1.0,,,,,,,,,393553,4860589,2078601,2466728,4683125,2061521
23,전통시장,2130278,미성동 도깨비시장 골목형상점가,2546,1836,710,461,454,181,360,380,387,323,,32.0,397,455,1038,624.0,1478,1068,334.0,596.0,330.0,531.0,606.0,149.0,12090332,8113139,3977193,1910281,2088081,692675,1662633,1759469,2317736,1659457,,149224.0,1828260,1969018,4873598,3270232.0,7335868,4754464,1838483.0,3005882.0,1564455.0,2481637.0,2535689.0,664186.0,1.0,전통시장,315294,141135,174160.0,51561.0,43000.0,45669.0,49799.0,47826.0,77441.0,96290.0,65388,33392,34331,47083.0,38811.0,45592.0,42792.0,42907.0,43214.0,43330.0,47977.0,49482.0,75.0,12.0,,,,,,,,,,76308,606491,324291,404306,613699,245753
24,전통시장,2130273,남성사계시장(남성시장),4765,2948,1817,556,529,594,545,724,969,848,,5.0,621,821,2416,902.0,2735,2030,232.0,1072.0,881.0,1095.0,985.0,500.0,74714821,45132648,29582173,8348795,8013870,9187185,8707487,10875311,16194122,13388051,,69686.0,9492397,12561005,38749643,13842090.0,44179316,30535505,2827357.0,17351758.0,14928735.0,16627146.0,16224939.0,6754886.0,4.0,전통시장,625122,279365,345756.0,95917.0,89169.0,90530.0,89835.0,94912.0,164760.0,106376.0,118896,84242,95766,141086.0,78756.0,86984.0,88701.0,88585.0,89313.0,92225.0,93432.0,85879.0,141.0,39.0,,1.0,,,,,,,,123598,2384445,1358455,1667055,2648655,944064
25,전통시장,2130271,남성역골목시장,22391,14948,7443,3091,3372,2976,2688,2821,4126,3317,,2513.0,6033,4746,8539,560.0,10181,12008,523.0,6735.0,6098.0,4701.0,3257.0,878.0,173869506,112218174,61651332,22978626,23762988,21411681,21263830,22801049,35103077,26548255,,18555933.0,43635646,35990517,67853830,7833580.0,85642997,84950037,2793485.0,44567692.0,44600770.0,40244207.0,29718536.0,8668343.0,5.0,전통시장,444399,196676,247723.0,49318.0,76418.0,77843.0,73740.0,57841.0,109239.0,103920.0,85383,48762,52606,86811.0,66914.0,62875.0,60137.0,62939.0,62668.0,62945.0,66233.0,66601.0,467.0,28.0,,1.0,,,,,,,,41570,934086,431603,485033,786193,295340
26,전통시장,2130269,강남시장(동작구 강남시장),2556,1669,887,321,296,105,459,488,453,434,,,344,425,1366,421.0,1302,1225,73.0,658.0,498.0,518.0,634.0,146.0,41690826,27330099,14360727,5573770,4866698,1682273,6635452,8571906,7483995,6876732,,,5520306,6830865,23070663,6268992.0,21483350,18805183,839497.0,10299826.0,7145325.0,8879668.0,10954120.0,2170097.0,2.0,전통시장,42923,20421,22502.0,6367.0,11555.0,4928.0,5346.0,5744.0,8982.0,10423.0,7578,5485,6051,8368.0,5019.0,6067.0,6082.0,6100.0,5975.0,5768.0,6543.0,6388.0,,,,,,,,,,,,40087,610323,335717,404394,632177,280036
27,전통시장,2130262,상도도깨비 골목형상점가,1823,1138,685,236,248,226,145,283,357,328,,,234,337,896,356.0,994,809,16.0,379.0,375.0,372.0,409.0,254.0,28554783,17260489,11294294,3155921,3412999,3385021,2726566,4579982,5976094,5318200,,,4209706,5271516,13936798,5136763.0,15448409,12314966,246630.0,4922388.0,5800383.0,5716891.0,7222662.0,3854421.0,2.0,전통시장,293692,134426,159266.0,35027.0,48525.0,53921.0,39221.0,43026.0,73970.0,75722.0,57693,32922,33178,52561.0,41615.0,42298.0,41106.0,40758.0,40392.0,40785.0,42722.0,45631.0,18.0,8.0,,,,,,,,,,74870,922637,463163,533283,839088,318060
28,전통시장,2130261,성대전통시장(성대시장),776,555,221,137,92,108,119,99,62,159,3.0,3.0,118,81,423,148.0,496,244,,85.0,187.0,194.0,158.0,115.0,13912295,9758331,4153964,1778156,1701561,2079612,1723257,2475745,987865,3166099,160754.0,29258.0,3067805,1372820,7035704,2245954.0,7851637,3842318,,1308716.0,2969841.0,2696986.0,2964252.0,1754159.0,4.0,전통시장,332546,149629,182919.0,34270.0,58976.0,56381.0,49681.0,49120.0,84119.0,63177.0,57979,40928,47919,73743.0,48800.0,47708.0,46902.0,46358.0,47408.0,47035.0,48883.0,48254.0,211.0,30.0,1.0,2.0,,,1.0,,,,,108449,1484995,681864,798869,1348841,517886
29,전통시장,2130260,신대방1동골목상권,1338,860,478,206,146,139,162,207,272,206,,6.0,302,234,629,167.0,682,656,17.0,316.0,293.0,199.0,366.0,147.0,23167615,14890899,8276716,2827202,2198874,2254068,2544538,5066217,4393844,3882872,,70805.0,6048016,4066856,10218294,2763644.0,12337145,10830470,244420.0,6023680.0,4609487.0,3361640.0,6815898.0,2112490.0,2.0,전통시장,91573,42309,49265.0,8445.0,15635.0,16354.0,14267.0,15339.0,21535.0,23044.0,18534,11739,11604,15963.0,10688.0,12762.0,12399.0,12630.0,12555.0,12449.0,13915.0,14862.0,70.0,6.0,,,,,,,,,,150240,1846794,762036,893059,1582588,674441
