,상권구분코드명,상권코드,상권코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수, 상권구분코드명,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
20,전통시장,2130301,양재시장,40379,32746,7633,5855,6583,6821,6415,7072,4090,3543,,11429,11584,6261,9173,1932.0,16330,14748,84.0,5057.0,7745.0,6205.0,5561.0,6429.0,422573656,352421067,70152589,62369763,59349574,82232365,71932699,76536666,36748855,33403734,,95793384,126917270,75492542,103026754,21343706.0,139220997,120991585,308125.0,34434973.0,65087428.0,55439167.0,47978906.0,56963981.0,2.0,전통시장,66548,33207,33343.0,7627.0,10297.0,15666.0,12490.0,8258.0,12212.0,10592.0,13697,11390,11286,12793.0,6791.0,10073.0,10684.0,10878.0,10741.0,10264.0,7248.0,6660.0,35.0,3.0,,,,,,,,,,55472,1190307,502711,601379,1050524,339460
21,전통시장,2130299,엔터식스 강남점,107703,74648,33055,13408,12967,13766,14645,19862,18622,14433,713.0,30648,21311,19488,27752,7791.0,37843,65072,1665.0,30139.0,25170.0,17011.0,17336.0,11595.0,822814283,562620908,260193375,102314330,97867814,105521109,107871749,149045906,148459964,111733411,4560611.0,210916264,175264962,155087098,218584168,58401180.0,274683898,489416800,9307346.0,201016322.0,182530650.0,133095766.0,139653251.0,98497363.0,7.0,전통시장,40732,17045,23687.0,6621.0,6448.0,6632.0,7754.0,6323.0,6955.0,3867.0,6681,8115,8957,9862.0,3250.0,5574.0,5594.0,5703.0,5789.0,6020.0,6278.0,5773.0,1850.0,11.0,,,,,,,,,,182224,3813342,3193955,3815164,5335839,1737042
22,전통시장,2130295,인헌시장(원당종합시장),17714,11897,5817,2146,2344,2712,1561,3134,2999,2818,12.0,2660,3314,3829,6116,1783.0,7816,9898,75.0,2616.0,4007.0,3449.0,3911.0,3656.0,108852167,71780420,37071747,12890226,14230753,15858329,9595908,19205204,19995662,17076085,58462.0,16226636,21495792,23201705,37326058,10543514.0,47887563,60964604,284638.0,11910370.0,24163449.0,24032306.0,26196272.0,22265132.0,2.0,전통시장,272831,125971,146859.0,27727.0,57554.0,52575.0,38131.0,38432.0,58413.0,59232.0,49001,31822,35927,57598.0,39250.0,38441.0,38099.0,38015.0,38140.0,38209.0,40823.0,41103.0,122.0,18.0,1.0,,,,1.0,,,,,30278,510205,247678,286783,466468,230656
23,전통시장,2130294,관악중부시장,20931,15860,5071,2925,3115,3123,3214,3483,2860,2211,,3279,4840,5005,6042,1765.0,8064,12867,267.0,2560.0,3635.0,4496.0,5017.0,4956.0,184216602,134095314,50121288,25000295,25501971,25416105,26410665,31766278,27795912,22325376,,28862430,42116795,42892528,55609141,14735708.0,72660826,111555776,1573469.0,19423596.0,30627279.0,42210955.0,47382612.0,42998691.0,3.0,전통시장,282176,130326,151850.0,43363.0,50183.0,43018.0,39605.0,36531.0,69477.0,57969.0,57488,40074,41014,52526.0,33103.0,40280.0,40498.0,40740.0,40476.0,40386.0,40110.0,39685.0,102.0,12.0,,2.0,,,,,,,,128139,1015037,537643,629510,1000370,440647
24,전통시장,2130290,영림시장,8356,5492,2864,929,1021,1090,1062,1390,1573,1291,,115,757,1504,4082,1898.0,3665,4691,152.0,3199.0,2536.0,1308.0,739.0,422.0,75541019,48555749,26985270,7593430,8443593,9743968,9462868,13311890,14405718,12579552,,786985,6892638,14127274,36098087,17636035.0,34787408,40753611,1344892.0,26794453.0,23255596.0,11433648.0,7112949.0,5599481.0,4.0,전통시장,555518,262026,293492.0,48577.0,137009.0,100823.0,67917.0,72207.0,128986.0,130132.0,112733,65968,67827,103826.0,75033.0,79617.0,80555.0,80634.0,80328.0,79710.0,78045.0,76630.0,417.0,30.0,1.0,1.0,,,1.0,,,,,145335,1824671,807423,918415,1610222,639573
25,전통시장,2130289,봉일시장,2716,2070,646,368,322,442,588,350,323,323,,111,579,626,848,229.0,970,1358,9.0,258.0,490.0,554.0,499.0,517.0,17733260,13980666,3752594,2445904,2072300,2733007,4683841,2045614,1876297,1876297,,515315,4543048,4242143,5032598,1523859.0,6680615,7894504,9202.0,1283385.0,3175027.0,3404755.0,3335743.0,3367005.0,1.0,전통시장,61494,29119,32375.0,6669.0,11889.0,10588.0,8573.0,9284.0,14490.0,13732.0,11631,7312,7838,12240.0,8742.0,8818.0,8687.0,8542.0,8500.0,8660.0,9029.0,9255.0,36.0,3.0,,,,,,,,,,145555,1805772,814413,942526,1617918,642060
26,전통시장,2130279,관악신사시장,9225,6080,3145,1213,988,1227,1030,1622,1537,1608,,1100,2497,2385,2990,253.0,4251,4974,,1275.0,1587.0,1842.0,2097.0,2424.0,63918642,42358055,21560587,7659404,6284097,9020605,7109281,12284668,10572235,10988352,,9471989,16680009,17476983,18434759,1854902.0,28262907,35655735,,6936462.0,10122416.0,13359470.0,15942844.0,17557450.0,2.0,전통시장,400902,191170,209731.0,27466.0,94511.0,78308.0,54043.0,54970.0,91604.0,121424.0,83264,40123,40506,61820.0,53764.0,56625.0,55371.0,55303.0,55710.0,55565.0,59700.0,62629.0,120.0,14.0,1.0,1.0,,,,,,,,165334,2031964,768024,899198,1729741,745588
27,전통시장,2130276,신림중앙시장(조원동 펭귄시장),1430,1116,314,252,228,275,243,118,157,157,,197,181,456,439,,606,582,,181.0,181.0,165.0,188.0,471.0,8793413,7022633,1770780,1816348,1441607,1819490,1274270,670918,885390,885390,,1598731,1295483,2611391,2402418,,3300377,3403293,,761263.0,883034.0,962382.0,1212207.0,2884787.0,1.0,전통시장,75763,37340,38422.0,6338.0,17656.0,14980.0,11247.0,9746.0,15795.0,26844.0,15909,6396,5781,9767.0,11067.0,10974.0,10812.0,10795.0,10772.0,10707.0,10716.0,10984.0,43.0,4.0,,,,,1.0,,,,,219718,2324483,908529,1045405,1941007,818782
28,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),33754,24936,8818,4385,5008,4609,4952,5982,4936,3882,,5615,6239,6055,11675,4170.0,12516,20176,528.0,8411.0,7740.0,4960.0,5391.0,5664.0,329828697,243925157,85903540,40603979,46257159,45917858,47167394,63978767,48464533,37439007,,51667445,59297165,60070336,117596794,41196957.0,126422854,174798567,3747727.0,68248386.0,67258279.0,50559604.0,54316357.0,57091069.0,3.0,전통시장,516602,258039,258561.0,37700.0,125860.0,103053.0,71794.0,70522.0,107671.0,95811.0,100087,61766,65290,120321.0,73329.0,71123.0,74376.0,75999.0,76679.0,78327.0,74739.0,65359.0,389.0,16.0,,2.0,,,,,,,,272505,3526734,1787137,2087442,4072161,1775038
29,전통시장,2130273,남성사계시장(남성시장),71335,46297,25038,8189,8139,9315,8899,11755,13286,11752,,1050,9906,16291,32136,11952.0,29210,41606,3109.0,18599.0,16190.0,14326.0,11291.0,7302.0,632973997,408555718,224418279,74653533,64183788,87518616,76285639,105914142,116424506,107993773,,5982177,87465571,142597037,285365654,111563558.0,259993545,357699775,21053181.0,168148995.0,141423901.0,117418394.0,108065908.0,61582942.0,8.0,전통시장,618621,280682,337939.0,95402.0,88009.0,89894.0,88774.0,94471.0,162072.0,104942.0,118143,84097,93820,139419.0,78198.0,86653.0,88511.0,89250.0,89453.0,90730.0,89683.0,84341.0,141.0,39.0,,1.0,,,,,,,,116298,2322926,1302332,1545668,2576456,910321
