상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
2120201,116619,102647,13972,21323,20644,20071,20452,20157,9774,4198,631,7976,66990,10282,25210,5530,66860,33669,218,13441,28507,25193,19515,13660,2735119132,2290620702,444498430,469618265,457821770,416733756,425010452,521436459,319578386,124920044,28787615,236984844,1195973651,194389703,803873099,275110220,1494576447,637500437,3019815,220392568,463560039,509608942,633868044,301627477,48,961857,466079,495776,139995,154247,199813,190461,126715,150623,181369,204730,152058,154316,169810,99575,145949,148560,146498,145143,143240,118011,114456,11559,36,,5,,,,,,,,22454,417226,175686,207630,361276,132744
2120200,186088,138841,47247,24262,27802,28452,27494,30831,26277,20970,5847,2041,79905,22801,54898,20596,76985,75623,849,36414,54563,29980,18088,12724,15165531871,10451681987,4713849884,1756781102,2084345300,2131595912,2142836864,2336122809,2638190018,2075659866,603653175,53859055,3263060921,1720080073,6096066037,3428812610,6195822335,4673581460,34660854,1981685854,4032423174,2350061214,1554797938,915774761,108,1308597,611002,697596,82106,312079,371480,255606,149861,137464,133355,228339,264290,268409,293229,120974,176910,202370,200322,200565,207680,185925,134824,9363,78,1,4,,,,,,,,48030,478592,280591,359586,635387,273553
2120199,36881,33550,3331,6926,6806,6612,6763,6443,2418,913,821,18,21055,1244,9098,4645,18362,9500,13,4870,9025,7336,4184,2432,2914389731,2442370367,472019364,452994281,485686695,501969013,497815228,503905150,315144120,156875244,87309728,453541,447055984,110241934,1433610438,835718106,1210624044,520201158,1665231,168718095,468358022,569797012,350064718,172222125,90,549661,289358,260303,36048,110626,151643,114943,68906,67496,96105,116513,93984,92389,97305,53364,82882,87341,85683,85162,83757,64195,60639,3830,10,,1,,,,,,,,67704,2194692,794465,902243,1826811,487799
2120198,269269,241584,27685,47422,50720,48362,48395,46685,16237,11448,6392,6376,161270,19048,56595,19588,135717,83402,455,45340,74912,50505,32391,15506,8475616239,7253113673,1222502566,1317599696,1525016079,1445556589,1523793637,1441147672,704371358,518131208,445673654,99535194,3111092815,441217846,2869026650,1509070080,3715056411,2046259482,12157049,1045863438,1884344521,1390098320,977616446,451236126,127,2074765,1101778,972987,130020,460905,576526,413758,242841,250714,471551,447082,306400,299978,327575,222180,317008,328619,321711,318192,311837,240775,236621,11531,33,2,3,,,,,,,,21485,414240,166832,195569,365376,132913
2120197,960339,871270,89069,170744,186677,173039,174162,166648,52744,36325,10888,19053,610760,60252,195817,63569,472655,270419,779,145177,242957,169414,108472,76274,38057770118,33293600617,4764169501,6178057367,7083643946,6736275695,7022395568,6273228041,2929982576,1834186925,644480020,449017277,14022430224,2144141422,14080799766,6716901409,15287096228,7755120752,21240344,3877213478,7508542334,5441751522,3571954528,2621514758,359,3744159,2064849,1679310,133055,861090,1136635,804401,435938,373040,467111,798837,741800,739521,693538,303350,605152,660531,630711,623413,601181,339053,284118,58694,172,2,25,,,,,,,,108987,3548054,1077326,1257247,2918125,721223
2120196,120494,99151,21343,18813,20704,19971,19741,19922,12469,8874,1414,1538,67511,12627,28032,9372,58227,34701,109,16518,33151,20278,13840,9032,5687271815,4452052215,1235219600,760408196,917920223,915591015,891577973,966554808,739169095,496050505,88956663,41627148,1879178142,595415486,2111574151,970520225,2394265989,1419518495,2966816,554535756,1355740665,860577469,580229408,459734369,46,800711,414822,385888,62897,147878,207471,176276,100874,105314,143849,169048,136458,135391,138287,77679,121954,130473,126827,126254,125774,90130,79298,9687,36,4,5,,,,,,,,43608,1941010,541336,663961,1536827,354315
2120195,80175,60208,19967,11614,11752,11743,12242,12857,11798,8169,1075,978,34397,11514,23038,9173,33411,33848,452,13631,19108,11939,9180,12951,6154872131,4348131768,1806740363,655641536,931659148,848959920,947290714,964580450,1080786413,725953950,315122021,64700622,1418528581,820769612,2114213960,1421537335,2457998841,2132967975,19418862,859829928,1322128981,825384664,694308772,869895608,40,1027530,458960,568572,108331,241492,241947,185162,114219,136380,132904,169208,185687,196878,231458,111395,139554,152315,151493,152151,161886,152196,117937,5611,51,,8,,,,,,,,91274,683804,409546,508250,745360,296133
2120194,165627,152518,13109,30259,31527,31025,29572,30135,9595,3514,3244,3675,91759,9703,40844,16402,81387,47762,199,32709,46473,27296,14711,7770,6232844363,5587762653,645081710,1021407857,1235759659,1073175926,1135388283,1122030928,484463239,160618471,189882131,118408475,1886628616,266151583,2236250520,1535523038,2591621143,1284005739,4748320,767532583,1316292293,940819622,566488861,279745201,112,1722701,881719,840982,71175,376986,513114,350609,201927,208890,291152,372178,297246,294872,303956,163298,264668,276571,269466,267460,265081,199180,180277,12628,67,1,3,,,,11,,,,39319,1021142,377284,442842,823298,228605
2120193,158712,132712,26000,25083,27967,26783,26310,26569,14076,11924,1823,2788,84992,14923,39587,14599,71493,46193,326,17561,35435,27870,20414,16072,12637942730,9927070626,2710872104,1775983015,2026310062,2054892227,2018191169,2051694153,1492233954,1218638150,211550875,145189803,3108005560,1371423245,5246555686,2555217561,4632303031,2629363049,9511470,714753235,1818942710,1726298439,1440011996,1552148232,79,679887,340920,338966,50922,136204,181654,148767,82184,80157,81983,134994,136120,135096,134213,57483,101570,111593,108240,108249,108965,78906,62363,6384,19,,4,,,,,,,,30252,313795,172294,206812,330205,138335
2120192,430083,376867,53216,76122,78626,75165,74427,72527,30072,23144,2381,8843,261930,33315,100028,23586,226023,116642,1448,58259,96254,74821,63381,48498,14771253161,12262971792,2508281369,2335378874,2473148703,2519387656,2472574039,2462482520,1367761012,1140520357,112033162,185111541,6051944871,1194869397,5307869466,1919424724,6203303898,3103537190,25166139,1091410327,2327251766,2188615174,1949006841,1725390847,165,1703393,879390,824002,142973,342322,456324,354228,207689,199855,295027,367376,289502,285851,296984,168649,266492,279969,270698,269137,264909,181770,170416,27462,87,2,13,,,,,,,,77424,696080,317116,379216,619347,267320
2120191,260345,233555,26790,44673,49626,46726,46923,45607,15961,10829,4912,3995,164704,20797,46511,19426,135956,73968,585,40229,65575,51918,33271,18353,6944700671,6168862291,775838380,1067132419,1381861820,1237856711,1232062089,1249949252,489531747,286306633,228287706,125345171,2952519897,426836802,1992062990,1219648105,3149418774,1539115941,7658414,748953697,1505351969,1259972025,753280985,413317620,67,1887146,951093,936053,120698,408070,497779,386876,228360,245363,327666,403422,321824,322081,332727,179425,288591,302238,296110,292930,291883,217357,198035,13862,65,4,6,,,,,,,,38864,1871674,507479,623312,1480008,337054
2120190,183539,153264,30275,29207,32393,30811,29959,30894,17373,12902,4212,3045,103035,17418,39010,16819,82472,58003,384,26037,43176,32064,22211,16602,9235757845,7300288466,1935469379,1297238822,1485032855,1502890727,1546763097,1468362965,1097416804,838052575,338105415,119897835,2559152644,789229624,3299920000,2129452327,3869530367,2232175255,8932749,853724123,1846073624,1571180954,1040694041,781100135,92,1591457,788323,803134,128485,337289,416345,327656,183293,198389,258697,315277,282729,289029,296629,149096,238045,256172,249330,246823,251743,188549,160794,11703,72,,3,,,,,,,,28073,339089,167127,198402,329907,115826
2120189,1100088,859963,240125,155220,172103,171962,169732,190946,143177,96948,36693,18509,431456,100583,342498,170349,540886,423951,15075,325604,278677,154776,129245,61455,48884147311,36979074806,11905072505,5927444509,7077879364,7317780992,7541726600,9114243341,7500419081,4404653424,1953935915,401932316,9700012622,3217497413,20521477476,13089291569,24253100924,15100123570,487444207,13006083633,12645317061,6235310114,4550747823,2428321664,398,6654974,3378244,3276731,631465,1904157,1700315,1179345,675726,563965,894908,1256133,1183721,1217259,1426600,676352,994292,1066939,1036523,1030279,1076640,825699,624603,72613,380,7,24,,,,,,,,386754,4760399,2443298,3015664,5643390,2333109
2120188,212950,173087,39863,32490,35532,34571,34849,35645,21036,18827,2723,3555,104113,27429,57944,17186,100194,81921,2745,29716,44345,40646,33681,30976,8085551803,6177698807,1907852996,1043622549,1258895785,1265675807,1242795326,1366709340,1032949924,874903072,178094697,63966122,2399329693,786892309,3152017610,1505251372,3608634713,2450797766,37722854,776644033,1446683310,1343588944,1254533585,1200259755,114,2015293,888491,1126802,308105,330217,410891,390473,264350,311258,220322,378109,387286,405731,447919,175925,291258,313903,301118,300645,317752,271019,219597,8579,213,,14,,1,,,,,,89557,2264749,1198962,1415071,2297760,653367
2120187,521466,420106,101360,78326,85600,82891,82880,90409,61527,39833,26229,18649,210559,45906,141298,78825,266106,170532,1655,107230,140478,83903,65117,38243,22957742814,17723114384,5234628430,3094056592,3451206223,3450497053,3509989913,4217364603,3256212745,1978415685,1494854824,613238372,4543895291,1318656021,8788719067,6198379239,11397472412,6145495892,51775672,4250839806,6242581288,3365446130,2289454610,1342870802,239,3117290,1574861,1542430,224682,848604,823443,565682,321589,333290,514797,589920,482648,510243,664784,354898,443471,470738,464177,463636,485151,434221,355897,13076,154,3,7,,,,,,,,254384,2360834,1385318,1662621,2943212,1242783
2120186,226870,173243,53627,31406,35077,34585,33085,39090,33044,20583,9978,1848,76625,24500,71988,41931,99221,94821,2906,70313,58839,28750,22056,11174,9873435240,7215902799,2657532441,1179575612,1440967108,1432407105,1384367036,1778585938,1674400402,983132039,644100532,44021499,1504883673,612986543,3878596861,3188846132,4236600565,3683213728,73993688,2827440967,2664335146,1159639421,806756018,387649058,95,2273038,1048427,1224611,238240,541700,537697,412513,251545,291346,325697,390014,385321,423024,518959,230024,320324,336375,335086,334385,351965,324240,270662,6518,42,2,4,,,,,,,,37117,407149,227489,288340,449376,183331
2120185,363876,311280,52596,61606,63758,60827,61704,63385,31099,21497,8549,5603,195099,29906,88100,36619,187815,112875,793,58071,91804,68416,47893,33704,13752687461,11093083659,2659603802,2104812263,2282376360,2130044864,2183894593,2391955579,1629648621,1029955181,513680762,204467985,3914899928,941728663,5256638543,2921271580,6315847262,3343673194,19177734,1739296807,3007653445,2194440198,1583606466,1115345799,160,2596952,1311732,1285221,152236,562227,668342,511565,336711,365871,463427,522700,409844,418361,499992,282629,390074,407868,397530,395857,404365,322235,279022,12764,105,1,7,,,1,,,,,196168,1740857,675619,822235,1690498,639044
