,상권코드,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수,총생활인구수,남성생활인구수,여성생활인구수,연령대10생활인구수,연령대20생활인구수,연령대30생활인구수,연령대40생활인구수,연령대50생활인구수,연령대60이상생활인구수,시간대1생활인구수,시간대2생활인구수,시간대3생활인구수,시간대4생활인구수,시간대5생활인구수,시간대6생활인구수,월요일생활인구수,화요일생활인구수,수요일생활인구수,목요일생활인구수,금요일생활인구수,토요일생활인구수,일요일생활인구수,총직장인구수,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
580,2110507,3482,2796,686,538,619,437,614,588,511,175,91.0,14.0,1190,395,1131,661.0,1874,1541,98.0,987.0,592.0,919.0,490.0,331.0,86875795,65098511,21777284,13581731,13770631,8515922,15112658,14117569,16162754,5614530,4181200.0,234185.0,19052657,6526366,33026348,23855039.0,50633785,32467767,938133.0,18293767.0,21515708.0,25333550.0,10596028.0,6424366.0,9.0,1572432,709869,862564,247452,352284,215378,228346,217465,311507,400077,312153,189523,193009,270478,207191,227815,231356,228020,227819,219285,219342,218794,1537.0,15.0,2.0,1.0,,,,,,,,61100,618626,356155,451894,587847,261373
581,2110503,1121,884,237,122,28,220,266,248,143,94,,,547,287,287,,739,298,83.0,204.0,83.0,331.0,237.0,100.0,13538008,10467332,3070676,1456708,267615,2033323,4215626,2494060,1575342,1495334,,,7018686,3109300,3410022,,8701625,3181031,778014.0,2234723.0,904925.0,4196313.0,2620972.0,1147709.0,9.0,1834137,836618,997519,356013,538309,223334,205675,223350,287455,502173,396082,227653,212888,269454,225886,265157,270058,269882,265711,255603,249574,258150,230.0,29.0,,1.0,2.0,,,,,,,46609,502100,285511,383533,452901,201893
582,2110502,9710,6183,3527,946,1269,1210,1312,1446,1770,1757,,130.0,4235,1599,3677,69.0,5442,3482,,395.0,1343.0,2800.0,2492.0,1891.0,366546247,215540097,151006150,24372637,47072958,46401004,45936314,51757184,69815306,81190844,,3333884.0,135179153,47947940,175803340,4281930.0,203690399,125977013,,15979790.0,56407193.0,104630646.0,91626075.0,61023709.0,6.0,1134642,516042,618600,153651,174850,178861,189261,165012,273007,339479,226249,115151,117670,177920,158172,161898,161923,160223,159674,160279,164575,166071,290.0,23.0,1.0,1.0,,,,,,,,45159,478775,280544,339273,475149,208773
583,2110499,1746,1114,632,235,170,208,195,306,281,351,196.0,72.0,455,273,574,176.0,998,663,,178.0,138.0,526.0,550.0,269.0,48515815,30681848,17833967,5328044,4168641,6751243,5562530,8871390,7858540,9975427,6901055.0,1677227.0,12717610,6982474,15765930,4471519.0,26931368,17624239,,4416318.0,4563175.0,14922204.0,14367330.0,6286579.0,2.0,2396987,1084597,1312390,421329,452274,334294,336704,334845,517539,714919,525095,265283,245126,338901,307663,346487,343472,335434,338250,331979,341505,359859,282.0,15.0,,,,,,,,,,23729,258008,139823,167831,237666,99697
584,2110496,6264,4206,2058,871,703,929,917,786,928,1130,,48.0,2621,1131,2464,,3906,1893,60.0,238.0,953.0,2072.0,1250.0,1227.0,150962436,98853824,52108612,18737381,22058548,20106811,20493824,17457260,25310645,26797967,,869291.0,62766354,24071014,63255777,,89160637,42171312,637083.0,5245514.0,20390224.0,45905690.0,29799997.0,29353444.0,2.0,933311,416662,516650,151003,106747,128022,153022,140190,254328,225151,169734,107892,121406,183525,125605,132464,130322,128385,129040,131110,140866,141125,611.0,22.0,1.0,2.0,,,,,,,,40475,377127,209245,247852,339570,137659
585,2110495,12630,8617,4013,1680,1760,1564,1726,1887,2004,2009,,,5559,2426,4633,12.0,7469,4361,117.0,1147.0,1784.0,3509.0,3387.0,1887.0,276292565,173717510,102575055,36986189,36966501,30204389,32791393,36769038,49009170,53565885,,,117933779,48365820,109295185,697781.0,155614565,98112728,1494006.0,19611717.0,33430977.0,82903694.0,73097111.0,43189787.0,3.0,946935,430377,516558,140265,119350,139039,163705,142641,241935,296432,197498,94249,91070,139867,127818,134589,133114,130802,130419,131215,141287,145510,501.0,22.0,1.0,,,,,,,,,41600,392105,218105,264865,384314,159674
586,2110489,6143,4403,1740,836,728,807,1082,950,852,888,,106.0,2657,1122,2258,,3460,2363,24.0,343.0,971.0,1665.0,1567.0,1254.0,135000000,93069092,41930908,18017349,15316998,17517802,20935930,21281013,19536297,22394611,,2024803.0,53656365,24488928,54829904,,71942998,46887774,412548.0,6011455.0,18058195.0,37797868.0,34012272.0,22538436.0,2.0,424993,190446,234547,33885,71522,75048,63681,74317,106539,121339,92573,44967,45394,63261,57460,60411,61164,60809,60181,60114,60990,61325,35.0,2.0,,,,,,,,,,97054,1424972,815830,943816,1399093,457656
587,2110486,2812,1892,920,409,331,392,304,456,415,505,,23.0,1270,441,1043,35.0,1583,1035,47.0,196.0,368.0,767.0,840.0,396.0,66252775,42398599,23854176,8915364,8832116,10259387,5906331,8485401,11660815,12193361,,541306.0,27366154,11285977,26058628,1000710.0,35115055,22047798,577273.0,3431190.0,7981896.0,14434508.0,17844468.0,12893519.0,2.0,1000122,450852,549270,170367,130948,166271,172504,155472,204558,217775,192284,124327,132513,197677,135541,145176,148249,147627,147201,145972,135385,130511,629.0,8.0,,,,,,,,,,79885,854276,399371,472892,743367,285323
588,2110485,7160,4719,2441,167,1316,1161,959,1116,1237,1204,,11.0,3068,1516,2554,11.0,4360,2443,11.0,681.0,1183.0,1304.0,1440.0,2186.0,214064926,113525828,100539098,5810542,32465426,25269165,21820201,28160494,51179607,49359491,,1226794.0,73858564,43132954,95065927,780687.0,110183371,85674819,83645.0,17051318.0,37171853.0,43626462.0,37466283.0,60458630.0,2.0,575406,250728,324678,87952,69590,77019,88212,89721,162911,189852,121008,56726,53263,76597,77960,82616,79468,80265,80850,80549,83733,87927,1259.0,9.0,2.0,,,,,,,,,47167,516165,236712,276668,392755,146911
589,2110482,5243,3623,1620,651,735,801,735,701,772,848,,55.0,2137,783,1533,,2856,1460,127.0,674.0,523.0,894.0,1165.0,933.0,113214176,78339018,34875158,12674905,18190734,18190734,14737178,14545467,16881614,17993544,,1246128.0,46484692,15178116,32114506,,55373520,33197442,1696640.0,12152958.0,10659814.0,19536957.0,22332998.0,22191596.0,2.0,400822,183381,217441,63508,45740,50382,59047,66947,115199,127755,84895,39538,36790,55334,56509,58690,56983,57086,57168,56806,56048,58041,45.0,3.0,1.0,,,,,,,,,27101,264750,128082,153148,201306,81006
