,버스정류장ARS번호,역명,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
2695,8823,팔각정(00016),0,938,470,328,294,45
2696,8959,개운중학교(00031),0,710,174,290,206,37
2697,8958,종암아이파크2차정문(00031),7,531,209,132,246,88
2698,8828,한양슈퍼앞(00037),3,718,569,535,354,90
2699,8957,한신113동앞(00030),60,515,380,543,1113,679
2700,8956,삼선노인정(00029),3,826,429,657,852,300
2701,8830,길음역(00018),185,6444,2603,2916,4680,2476
2702,8834,우리랜드사우나(00018),121,1393,961,1895,2826,1419
2703,8835,대우APT211동앞(00023),319,1978,2068,4067,8415,4408
2704,8953,누구나교회(00031),67,514,559,865,1584,775
2705,8952,풍림아파트.성신초교(00030),0,2993,733,1346,1130,453
2706,8836,용광교회(00017),0,945,411,375,305,52
2707,8951,현대홈마트(00030),5,185,153,141,170,68
2708,8950,구민회관201동앞(00029),41,771,374,542,767,298
2709,8838,국민은행동소문동점(00018),382,2229,1538,2491,4499,1908
2710,8949,경동고앞(00028),4,921,409,643,666,282
2711,8854,힐스테이트입구(00019),14,793,516,567,662,259
2712,8868,관문약국(00019),49,532,337,530,723,359
2713,8946,월곡중학교(00027),17,509,159,185,285,73
2714,8872,쌍다리(00018),0,825,677,463,692,89
2715,8873,삼선교(00019),613,5112,4915,9215,19139,11312
2716,8945,풍림아파트(00029),0,1224,497,751,888,433
2717,8874,현대백화점별관주차장(00011),25,1793,2285,3366,4251,846
2718,8943,낙산삼거리(00029),92,1815,2420,3494,5994,2852
2719,8876,세광빌라(00020),37,628,306,509,757,330
2720,8883,꿈의숲코오롱하늘채아파트(00019),15,376,198,246,320,117
2721,8884,어해랑앞(00020),77,1311,856,1087,1870,1055
2722,8886,고대병원(00021),166,4419,2979,3695,3985,1269
2723,8942,한신301동앞(00028),186,956,1249,2080,3616,1627
2724,8888,한신103동앞(00021),136,736,1095,1959,3403,2161
2725,8941,경동고입구(00027),22,1542,1172,1700,2164,945
2726,8889,성북소방서(00022),14,374,294,468,677,251
2727,8892,장위시장(00021),97,2168,1424,1846,2600,1009
2728,8938,월곡초교(00029),18,815,423,655,864,498
2729,8893,생명의전화로터리(00019),93,1719,1107,1139,1673,727
2730,8894,정릉시장입구.정릉약국(00021),5,307,555,592,699,170
2731,8936,고명중고교(00028),0,442,285,567,391,132
2732,8935,창신쌍용2단지.한성대후문(00028),135,9518,8599,8053,9756,4171
2733,8897,종암아이파크1차후문(00023),33,716,232,312,545,325
2734,8934,돈암시장(00026),7,1044,1243,1655,1725,427
2735,8931,월곡중학교입구(00028),52,1318,777,1044,1824,909
2736,8928,브라운스톤(00027),2,1570,1142,1846,3092,1324
2737,8900,자산약국.월곡전철역입구.6호선(00023),81,1777,1008,1106,1588,631
2738,8927,명신초.삼선푸르지오.힐스테이트(00027),70,1912,1732,2409,4932,2575
2739,8901,수보약국(00022),11,387,592,613,878,341
2740,8924,동아아파트정문앞(00027),62,1028,863,1326,1996,870
2741,8923,빙그레슈퍼(00024),16,317,163,243,431,206
2742,8922,슈퍼앞(00027),82,320,399,820,1480,741
2743,8904,종암래미안(00024),23,336,219,366,624,332
2744,8921,쌍용APT(00026),2,585,463,833,1571,741
2745,8920,죽림정사앞(00026),65,1539,323,581,930,507
2746,8917,대동슈퍼(00024),8,282,326,456,641,363
2747,8908,장위천주교앞(00022),41,1684,422,541,1053,460
2748,8916,월곡로데오거리(00025),15,612,503,400,492,222
2749,8915,소망슈퍼(00023),33,2043,421,483,651,348
2750,8914,나약국(00026),147,1120,784,1132,2175,1247
2751,8913,우성APT정문(00025),0,526,277,429,785,313
2752,8909,월곡시장.동덕여대오거리(00024),222,4376,3370,3819,6762,3264
2753,8912,개운초등학교(00025),24,712,316,428,664,362
2754,8910,정든마을(00023),7,165,171,327,539,299
2755,8947,월곡초등학교후문(00030),51,526,449,781,1808,996
2756,8925,수녀원입구(00025),1,134,100,127,220,47
2757,8462,낙산삼거리(00002),0,1331,788,986,1127,485
2758,8463,돈암2동주민센터(00007),189,5936,2827,1913,1994,379
2759,8460,한신113동앞(00001),81,1352,850,1117,455,40
2760,8458,삼선푸르지오APT앞(00001),167,5623,2652,2906,3832,1286
2761,8550,한신105동앞(00007),407,7691,3062,2828,4474,1639
2762,8985,한신108동앞(00023),113,785,809,1509,2565,1490
2763,8986,스카이프라자앞.111동앞(00024),271,2438,2529,4508,7146,3194
2764,8991,스카이프라자앞.111동(00005),83,4361,2255,2206,2197,469
2765,8992,한신108동앞(00006),5,1550,648,473,464,61
2766,8535,삼선시장(00006),252,2397,1609,2229,2749,937
2767,8829,돈암초등학교(00017),53,967,970,1192,2025,932
2768,8459,한성대정문(00001),57,14691,17448,19443,18648,5483
2769,8490,한성대입구3거리(00004),33,2374,840,907,727,159
2770,8926,홈마트(00026),91,916,813,945,1586,735
2771,8505,성신여대입구역(00010),472,17388,5854,4986,5391,994
2772,8919,한진206동앞(00025),95,570,484,802,1814,1212
2773,8898,돈암힐스테이트.코오롱하늘채(00023),0,732,379,566,956,330
2774,8990,한진207동앞(00004),95,3749,1446,1138,1065,114
2775,8911,용문중고교(00024),71,1328,893,1451,1218,597
2776,8448,일신휴먼빌.우정아파트(00005),115,3072,917,660,708,132
2777,8471,중앙하이츠정문(00002),0,83,67,111,267,127
2778,8488,중앙하이츠후문(00003),0,33,21,19,26,12
2779,8580,중앙하이츠후문(00009),0,17,2,11,4,0
2780,8593,중앙하이츠정문(00010),0,303,73,74,83,13
2781,8456,정릉2동주민센터(00001),0,319,282,380,577,96
2782,8455,산림초소(00030),13,459,270,303,422,158
2783,8487,넓은마당(00002),45,525,252,114,106,11
2784,8502,도광사(00003),1,138,56,46,45,29
2785,8948,도광사(00028),5,111,155,172,297,101
2786,8954,넓은마당(00029),17,218,349,465,797,257
2787,8454,정릉4동종점(00001),130,2439,1525,1743,2270,846
2788,8939,산장아파트(00027),9,438,709,790,1028,376
2789,8457,4호선성신여대역(00030),592,16037,8462,9413,11468,5224
2790,8560,길음전철역(00008),1594,41329,12503,14634,26168,11376
2791,8545,길음시장입구(00007),259,5802,1615,1689,2149,349
2792,8546,길음역출구(00016),170,6045,3321,4258,7945,3550
2793,8453,신안APT.길음초등학교(00001),544,8154,2775,4263,5536,2357
2794,8599,종암아이파크2차후문(00008),25,988,465,466,777,342
2795,8881,성가복지병원앞(00021),9,375,474,776,867,301
2796,8937,상월곡역(00026),25,2867,409,294,295,107
2797,8497,장위1동주민센터(00004),119,3174,1441,1231,1804,387
2798,8536,동방고개(00007),74,1332,740,1209,1926,865
2799,8551,장위동그린빌아파트(00008),58,1382,1183,1836,3379,1426
2800,8498,빙그레슈퍼(00003),25,400,201,264,477,211
2801,8930,동아아파트(00025),96,1106,503,832,1203,548
2802,8568,북서울꿈의숲(00009),279,5167,3946,6019,9020,3723
2803,8781,석계역(00015),1297,24562,12772,15949,28956,11655
2804,9994,창문여고앞(00048),246,10878,4269,5584,4821,1324
2805,8544,파리바게뜨앞(00007),13,547,464,448,472,198
2806,8452,장위중학교(00035),195,3679,1317,1736,2098,799
2807,8451,동방주택(00028),256,3956,1608,1952,2920,1463
2808,8450,장월초교.참누리아파트(00003),72,2290,952,793,884,204
2809,8815,원진프라자앞(00009),0,166,58,98,140,52
2810,8787,국민은행사거리(00023),83,834,739,1033,1451,857
2811,8715,국민은행장위동지점(00006),109,1794,874,726,847,259
2812,8827,성북빌리지(00023),0,373,198,315,390,15
2813,8839,길상사(00021),0,547,2626,2991,1051,7
2814,8837,길상사(00017),0,2688,3550,2136,2247,725
2815,8833,북악슈퍼(00022),0,408,207,370,243,3
2816,8831,북악슈퍼(00016),0,1060,668,665,548,160
2817,8826,성북빌리지(00015),0,528,210,262,287,109
2818,8824,성북동성당(00013),0,423,131,179,287,113
2819,8825,성북동성당(00025),0,171,224,163,200,22
2820,8822,선잠단지.성락원앞(00026),0,470,444,501,456,79
2821,8821,선잠단지.성락원앞(00012),0,927,475,527,760,250
2822,8848,일신휴먼빌.우정아파트(00019),30,150,298,536,1044,512
2823,8840,정릉꿈에그린아파트(00020),25,335,278,467,868,411
2824,8842,정릉꿈에그린아파트(00004),35,1027,312,247,353,55
2825,8845,중앙하이츠빌아파트(00022),41,187,163,390,828,351
2826,8843,아리랑시장(00021),19,381,293,417,771,292
2827,8844,아리랑시장(00003),40,693,475,606,1019,314
2828,8847,정릉꿈에그린1단지(00002),41,911,260,223,292,32
2829,8846,세계문화유산정릉(00001),144,3614,1405,1662,2347,903
2830,8855,한국가구박물관입구(00018),0,1033,214,269,187,23
2831,8858,한국가구박물관입구(00020),0,155,287,741,302,0
2832,8856,우리옛돌박물관.정법사(00019),0,2209,639,1192,690,1
2833,8850,돈암코오롱하늘채아파트(00017),72,351,736,1058,2416,1154
