기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,골목상권,2110378,송중동주민센터,CS100005,제과점,94714710,66668890,28045820,8214039,13595915,13306211,14973855,16578870,14531587,13514233,,17942926,23796843,16939764,27644124,8391053,38906062,39588438,1148708,8499500,15133285,28788049,14387739,10537218,*
2022,4,골목상권,2110376,수송초등학교,CS100005,제과점,31479277,23579625,7899652,4587782,3427528,6127141,4222909,5214265,3949826,3949826,,5423553,3842888,7397546,8421951,2443513,10755313,9461499,36717,2275075,2924046,4458355,4794775,5727845,*
2022,4,골목상권,2110359,수유시장옆,CS100005,제과점,12000000,7242452,4757548,1081274,1757991,974646,1714705,1713836,3041495,1716053,259091,136719,1186986,3023628,4677088,2716488,5326760,6673240,387978,5059349,3471778,1802959,576926,701010,4
2022,4,골목상권,2110357,가오리역 1번,CS100005,제과점,241756594,164880349,76876245,39305707,32109433,30439732,32414547,30610930,42210924,34665321,19387,33503174,46406613,56846622,84590660,20390138,98653263,118596019,2288727,23633948,39291539,58204274,50400010,43430783,*
2022,4,골목상권,2110355,삼양사거리역 2번,CS100005,제과점,106806997,52013983,54793014,14044773,10554494,7179759,8296724,11938233,33025576,21767438,,2071000,11548603,21217950,49122044,22847400,55890245,50916752,1576758,11555299,28246619,34288314,23749029,7390978,*
2022,4,골목상권,2110352,수유1동주민센터,CS100005,제과점,244713876,144181669,100532207,26320094,26337036,25619804,30734680,35170055,49792981,50739226,,42221623,49590763,61678198,75970152,15253140,103461059,136689457,989150,18537800,52561750,70580933,54054776,43426108,*
2022,4,골목상권,2110351,수유북부시장옆,CS100005,제과점,10859586,8004599,2854987,2844123,1652496,1014941,1901228,591811,1425492,1429495,,1623906,2760641,1451795,4239881,783363,2913311,3937973,142950,377387,1248807,1503828,1626765,1951547,4
2022,4,골목상권,2110348,강북문화예술회관,CS100005,제과점,101987268,52976061,49011207,14811793,7425060,7614019,10524656,12600533,30816070,18195137,,996314,9691133,19786766,52255046,19258009,55270399,46716869,738436,21720491,25491939,29083481,15877303,9075618,*
2022,4,골목상권,2110345,솔밭공원역 2번,CS100005,제과점,263439249,164170765,99268484,30645634,38272621,30098365,29423897,35730248,50160385,49108099,667537,38953754,57478418,49040344,89189005,28110191,122506786,120152166,1192904,17823583,53293702,58933539,51021410,60393813,*
2022,4,골목상권,2110340,인수중학교,CS100005,제과점,40739197,29324515,11414682,6147547,5716581,6311912,10976246,172229,6244278,5170404,,8664133,11616009,11705270,8753785,,14932004,17900788,129761,1562250,6209675,7202547,10654987,7073572,*
