,호선명,지하철역,00시~06시승하차총승객수,06시~11시승하차총승객수,11시~14시승하차총승객수,14시~17시승하차총승객수,17시~21시승하차총승객수,21시~24시승하차총승객수
146,5호선,강동,1961457,36178446,13944728,15215567,29058317,10393933
147,5호선,길동,775727,13840573,6620747,7539886,13066191,4210191
148,5호선,굽은다리,226284,3814015,1714321,1837688,3349384,1450839
149,5호선,고덕,815163,16379940,7979729,9142113,14055778,5001179
150,5호선,상일동,1390388,26800049,8177023,9443898,19725412,6879249
151,5호선,둔촌동,740314,18817638,8128532,9562781,17171578,6055254
152,3호선,오금,859196,20588619,7105131,7991909,15580724,5754370
153,5호선,개롱,691484,12696586,5237373,6033497,10870970,3959374
154,5호선,거여,837852,15359568,5694566,6686854,11854250,4236524
155,3호선,독립문,1006376,14592637,7970886,8788493,10840549,3427349
156,3호선,고속터미널,2975456,105463973,93055336,111408166,160210405,50508348
157,3호선,도곡,741011,23253101,10512205,12187753,20451271,6404576
158,3호선,경찰병원,467060,15239307,5720829,6225760,11680349,3832627
159,경원선,서빙고,180178,3947965,1776147,2132979,3377111,959711
160,중앙선,망우,1041967,14302617,7081093,7893417,13003249,4159122
161,중앙선,국수,85229,1540467,848805,1037598,1077493,357801
162,장항선,탕정,18760,306953,160786,198681,295461,104713
163,경인선,인천,451376,7075296,6814772,7755709,7610714,1758907
164,5호선,강일,95222,2128212,802579,921311,1720990,579789
165,5호선,하남풍산,91152,2596889,1023378,1245428,2262525,664843
166,6호선,응암,1958826,32518796,13120677,14675163,29091486,11600749
167,3호선,불광,2028008,40238583,21657689,25227930,39455313,13642201
168,6호선,새절,385956,5510200,2195917,2468845,4501208,2030920
169,6호선,증산,302689,4276698,1646858,1858362,3515969,1594854
170,6호선,월드컵경기장,87369,1920136,1838542,2395270,2811894,1109816
171,6호선,마포구청,1287977,25482344,10329890,11402437,21161205,7845283
172,2호선,합정,3589835,66226229,36379023,43563576,89705829,38746049
173,6호선,상수,889430,12948992,9128028,10575569,20448239,9842067
174,6호선,광흥창,146177,3869742,1685799,1755861,3176072,1158133
175,6호선,대흥,137303,3459581,1631535,1719627,2951223,1212788
176,2호선,잠실새내,1107156,27432903,14887361,17595460,31992998,12988778
177,3호선,경복궁,193367,9183825,5342865,6052665,8689114,2753533
178,3호선,금호,746905,14717570,6438122,7238821,12772777,4780337
179,2호선,교대,539728,18468388,9684276,11029459,19055518,7794073
180,3호선,양재,374061,17377327,6800731,7784144,16693175,5667948
181,3호선,대치,617913,18730710,9921253,11659962,18845431,8751113
182,경원선,한남,343024,7521750,3555318,4140019,7122748,2171718
183,경원선,녹천,814101,9290697,3625440,3873047,6609266,2555105
184,경인선,간석,1003701,11433694,4983788,5468479,9946157,3938066
