기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,3,골목상권,2110737,금천세무서,CS100008,분식전문점,527,435,92,66,80,59,118,112,46,46,,59,258,46,118,,363,98,,66,98,92,144,59,*
2022,3,골목상권,2110736,독산119안전센터,CS100008,분식전문점,242,184,58,44,28,39,44,29,29,29,,,76,29,29,6,106,34,,6,23,23,29,59,9
2022,3,골목상권,2110732,가산초등학교(세일중학교),CS100008,분식전문점,2497,1812,685,240,406,304,453,409,579,106,12,295,591,437,1067,95,1873,592,6,35,224,456,1353,390,11
2022,3,골목상권,2110731,금천구청역 1번 출입구,CS100008,분식전문점,18970,16912,2058,3063,3359,3454,3403,3633,1618,440,,4286,8521,2181,3909,73,6602,8594,34,3504,4992,3261,2013,1395,10
2022,3,골목상권,2110729,가산동우체국,CS100008,분식전문점,7344,5389,1955,1289,987,1101,1119,893,1231,724,,699,2613,1414,2324,294,4263,3000,,2021,2471,1155,1010,607,9
2022,3,골목상권,2110727,독산역 1번 출입구,CS100008,분식전문점,1058,792,266,101,186,116,152,237,129,137,,,216,137,467,238,519,439,14,180,352,188,202,21,4
2022,3,골목상권,2110726,금천철쭉어린이공원(금하마을),CS100008,분식전문점,4532,3486,1046,705,715,518,706,842,523,523,,94,1367,1071,1461,16,2397,1490,48,281,479,1368,1185,524,8
2022,3,골목상권,2110725,가산동주민센터,CS100008,분식전문점,4065,3464,601,492,729,794,794,655,301,300,,204,2390,720,740,11,2468,1331,,225,783,1169,965,654,6
2022,3,골목상권,2110724,금천구립가산도서관,CS100008,분식전문점,7673,6288,1385,758,1456,1291,1291,1492,1015,370,,529,2138,1142,3815,49,4408,3095,5,2387,2547,1210,1049,306,6
2022,3,골목상권,2110722,G타워,CS100008,분식전문점,13905,12975,930,2218,2647,2391,2957,2762,465,465,,40,9131,475,3497,297,8222,4537,81,3951,5630,2123,768,204,8
2022,3,골목상권,2110721,가리봉파출소,CS100008,분식전문점,5367,5311,56,1152,1125,955,1152,927,28,28,,,3570,196,421,,2614,1236,,1180,1096,871,703,,7
2022,3,골목상권,2110720,대림역 2번,CS100008,분식전문점,559,354,205,66,56,68,55,109,95,110,55,,44,56,255,149,339,213,4,102,169,89,156,32,8
2022,3,골목상권,2110717,남구로역 2번,CS100008,분식전문점,12987,10844,2143,2201,1993,1874,2276,2500,1584,559,75,1426,3164,1569,5436,1317,8604,3912,,2548,3206,2788,2336,1637,19
2022,3,골목상권,2110716,구로나눔길,CS100008,분식전문점,1839,1393,446,261,208,312,292,320,246,200,,16,386,187,940,310,838,894,,419,371,293,368,282,5
2022,3,골목상권,2110714,구로4동주민센터,CS100008,분식전문점,26118,18714,7404,2116,3755,4144,4006,4693,4033,3371,349,3845,10423,4051,6614,836,12492,13231,177,2595,4528,7601,6613,4210,16
2022,3,골목상권,2110713,구로보건소,CS100008,분식전문점,2427,2152,275,315,462,450,465,460,126,149,33,111,986,488,768,41,1239,1062,8,289,743,479,551,230,16
2022,3,골목상권,2110712,남구로역 5번,CS100008,분식전문점,1560,883,677,194,82,146,238,223,345,332,83,,173,284,899,121,1081,479,,267,415,261,373,244,5
2022,3,골목상권,2110710,남구로역 3번,CS100008,분식전문점,15914,12925,2989,2241,2704,2889,2443,2648,1863,1126,315,2825,5798,2735,3839,402,9486,6269,79,1427,3627,4530,4200,1889,13
2022,3,골목상권,2110709,구로119안전센터,CS100008,분식전문점,1324,936,388,213,180,194,103,246,194,194,,130,580,201,219,,838,292,12,159,214,380,272,93,*
2022,3,골목상권,2110708,화원어린이공원,CS100008,분식전문점,5216,3477,1739,611,636,662,809,759,783,956,195,710,1127,906,1470,808,2864,2155,49,881,954,1420,1151,563,4
2022,3,골목상권,2110706,그라운드 고척,CS100008,분식전문점,59630,45204,14426,7596,9201,9160,9637,9610,8490,5936,1052,4748,20557,10153,21190,1930,32635,25712,5232,18003,10989,10480,10054,3588,21
2022,3,골목상권,2110703,개봉역,CS100008,분식전문점,22638,17030,5608,3038,3618,3526,3465,3383,2900,2708,7,1420,4215,3197,10019,3780,10537,12101,422,4513,4987,6603,4165,1948,11
2022,3,골목상권,2110701,고척동성당,CS100008,분식전문점,9269,8070,1199,1590,1572,1532,1669,1707,926,273,,312,4177,898,3570,312,3767,4625,78,800,1679,2664,2274,897,3
2022,3,골목상권,2110699,덕의초등학교,CS100008,분식전문점,1749,1566,183,269,334,360,356,247,150,33,,88,656,363,625,17,795,921,10,248,222,645,353,238,4
2022,3,골목상권,2110698,개웅초등학교(개웅중학교),CS100008,분식전문점,2001,1564,437,265,292,408,307,292,200,237,,30,513,295,885,278,1275,713,,331,314,684,400,261,*
2022,3,골목상권,2110695,개봉1동주민센터,CS100008,분식전문점,4551,3388,1163,811,702,148,830,897,568,595,55,10,1735,1025,1358,368,3101,1344,167,362,854,1298,1152,612,8
2022,3,골목상권,2110694,세곡초등학교,CS100008,분식전문점,25333,17692,7641,3553,3317,3312,3282,4228,3909,3732,171,2767,8271,4118,8636,1370,13428,11574,711,2861,4680,6335,6436,3975,14
2022,3,골목상권,2110692,큰굴다리,CS100008,분식전문점,1286,964,322,155,186,150,253,220,161,161,,166,565,136,258,,682,346,35,102,112,156,190,433,*
2022,3,골목상권,2110691,개봉중학교,CS100008,분식전문점,837,628,209,94,135,81,143,175,115,94,8,134,400,169,126,,405,424,25,106,106,140,390,62,*
