,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
27,27.0,2022,4,전통시장,2130183,상암동상점가,CS100004,양식음식점,509209006,377615130.0,131593876.0,70055055.0,55999384.0,88217917.0,79173316.0,84169458.0,88241145.0,43352731.0,13351984.0,9161796.0,213959279.0,60144908.0,155710896.0,56880143.0,200032525.0,170493825.0,1619270.0,80743549.0,130556245.0,86025156.0,53112277.0,18469847.0,15
28,28.0,2022,4,전통시장,2130179,"이화여대 3,5,7길 상점가",CS100004,양식음식점,900357771,731831218.0,168526553.0,135393692.0,147492741.0,161419469.0,157050805.0,130474511.0,106281176.0,62245377.0,0.0,10462439.0,392626020.0,153262111.0,337035170.0,6972031.0,160348653.0,589819707.0,44655896.0,385337740.0,109434111.0,92005204.0,95060401.0,23675009.0,14
29,29.0,2022,4,전통시장,2130178,이대 앞 스타트업 상점가,CS100004,양식음식점,89991978,84898921.0,4316968.0,14043515.0,15145258.0,16849175.0,16294826.0,22566147.0,4147837.0,169131.0,776089.0,2691746.0,31456170.0,14564822.0,21452665.0,19050486.0,9124413.0,70633625.0,3996860.0,58928992.0,5552937.0,2769005.0,7521838.0,988405.0,3
30,30.0,2022,4,전통시장,2130177,인왕시장(홍제골목형상점가),CS100004,양식음식점,12957698,8975885.0,3760242.0,2250071.0,1458388.0,1470338.0,1789501.0,2007587.0,1471334.0,2288908.0,0.0,59750.0,5374976.0,2741013.0,4560388.0,221571.0,6867283.0,5232511.0,203148.0,1909528.0,2212758.0,2608461.0,2886960.0,2278938.0,*
31,31.0,2022,4,전통시장,2130170,제일시장,CS100004,양식음식점,1411686632,800096502.0,611590130.0,58707793.0,180751062.0,175207946.0,178194157.0,207235544.0,320919945.0,290670185.0,0.0,3112479.0,519705708.0,243309997.0,604666914.0,40891534.0,554601854.0,822077281.0,23629754.0,240379727.0,375551554.0,300431892.0,265352479.0,171333729.0,*
32,32.0,2022,4,전통시장,2130167,연신내상점가(연빛거리),CS100004,양식음식점,987246250,589740303.0,397505947.0,105334625.0,106336298.0,105065886.0,119134380.0,153869114.0,269054564.0,128451383.0,89510541.0,8083010.0,126847339.0,99129526.0,407751485.0,255924349.0,405565812.0,577684437.0,40820085.0,483407808.0,214886682.0,113642219.0,100821316.0,29672138.0,13
33,33.0,2022,4,전통시장,2130152,오!도봉거리 상점가,CS100004,양식음식점,21034709,14936786.0,5660328.0,4412896.0,2406776.0,2681836.0,2482929.0,2952349.0,2645465.0,3014863.0,437595.0,0.0,6619629.0,2864262.0,8462076.0,2651147.0,11530170.0,7381917.0,0.0,1275663.0,6076989.0,6436872.0,3541900.0,1580661.0,*
34,34.0,2022,4,전통시장,2130146,쌍문시장(쌍문역골목시장),CS100004,양식음식점,20112017,12209791.0,7527254.0,31710.0,3263849.0,2706393.0,2297379.0,3910460.0,4052465.0,3474789.0,0.0,39063.0,6292858.0,4581888.0,8823236.0,374972.0,8779940.0,10957105.0,1991580.0,5588355.0,2690102.0,5160889.0,3162379.0,1143740.0,*
35,35.0,2022,4,전통시장,2130140,숭인시장,CS100004,양식음식점,100181553,72484448.0,27697105.0,5290743.0,6661007.0,6090064.0,18282879.0,36159755.0,26402966.0,1294139.0,11050928.0,0.0,0.0,3171908.0,38811471.0,45853107.0,69778727.0,29108687.0,0.0,15916125.0,30285525.0,38270040.0,12233451.0,2182273.0,*
36,36.0,2022,4,전통시장,2130137,"수유전통시장(수유시장, 수유골목시장)",CS100004,양식음식점,18962733,12052796.0,5770186.0,2807454.0,3155281.0,1391303.0,2347826.0,2350932.0,2329193.0,3440993.0,0.0,1093168.0,5009317.0,7658386.0,4062111.0,1139751.0,7454542.0,10368440.0,0.0,628569.0,1349085.0,3815152.0,5812665.0,6217511.0,*
37,37.0,2022,4,전통시장,2130118,정릉골 골목형상점가,CS100004,양식음식점,58337071,37999300.0,20337771.0,10297192.0,1168290.0,11729562.0,8034330.0,6769926.0,9275405.0,11062366.0,0.0,0.0,20505737.0,10852410.0,26218415.0,760509.0,18359668.0,34672506.0,1354623.0,18136452.0,9989067.0,13556074.0,8003142.0,1992818.0,*
38,38.0,2022,4,전통시장,2130113,신아타운,CS100004,양식음식점,53795245,43138529.0,10656716.0,14038401.0,5851783.0,13785511.0,3217010.0,6245824.0,6575170.0,4081546.0,3528714.0,2029010.0,12697490.0,18025847.0,13150341.0,4363843.0,31755456.0,22039789.0,5122145.0,12279354.0,6355511.0,23271383.0,6087717.0,679135.0,*
