,Unnamed: 0.1,Unnamed: 0,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
1442,1516.0,113214,2022,1,발달상권,2120119,발산역(마곡),CS100004,양식음식점,15481,10497.0,4984.0,1777.0,2169.0,2373.0,2045.0,2133.0,2431.0,2553.0,31.0,33.0,6821.0,3430.0,4907.0,259.0,6146.0,8198.0,323.0,2592.0,3508.0,4172.0,2544.0,1206.0,52
1443,1517.0,113304,2022,1,발달상권,2120114,목동신시가지,CS100004,양식음식점,46730,32801.0,13929.0,6310.0,6461.0,6327.0,6770.0,6933.0,7180.0,6749.0,0.0,516.0,18624.0,10187.0,16733.0,670.0,19542.0,22599.0,1792.0,6624.0,7777.0,13415.0,9983.0,2544.0,36
1444,1518.0,113347,2022,1,발달상권,2120113,오목교역,CS100004,양식음식점,534,335.0,199.0,70.0,24.0,61.0,75.0,105.0,110.0,89.0,0.0,0.0,19.0,28.0,301.0,186.0,260.0,205.0,0.0,112.0,185.0,102.0,61.0,5.0,6
1445,1519.0,113473,2022,1,발달상권,2120110,목동역 8번출구,CS100004,양식음식점,662,504.0,158.0,91.0,111.0,80.0,101.0,121.0,158.0,0.0,0.0,0.0,30.0,86.0,289.0,257.0,347.0,280.0,5.0,190.0,261.0,96.0,40.0,35.0,7
1446,1520.0,113558,2022,1,발달상권,2120108,신정네거리역,CS100004,양식음식점,525,419.0,106.0,81.0,113.0,24.0,129.0,72.0,106.0,0.0,0.0,0.0,356.0,113.0,56.0,0.0,364.0,130.0,0.0,40.0,56.0,219.0,105.0,72.0,10
1447,1521.0,113590,2022,1,발달상권,2120107,공덕역(공덕오거리),CS100004,양식음식점,8259,5755.0,2504.0,1114.0,1057.0,1176.0,1189.0,1219.0,1212.0,1292.0,0.0,12.0,3503.0,1327.0,3360.0,57.0,2931.0,4329.0,22.0,1244.0,2246.0,1436.0,1446.0,863.0,14
1448,1522.0,113626,2022,1,발달상권,2120106,마포역,CS100004,양식음식점,1332,555.0,128.0,101.0,127.0,65.0,100.0,162.0,114.0,14.0,14.0,598.0,173.0,57.0,383.0,70.0,271.0,279.0,37.0,94.0,165.0,128.0,114.0,50.0,10
1449,1523.0,113661,2022,1,발달상권,2120105,상수역(홍대),CS100004,양식음식점,23869,14556.0,9313.0,2199.0,2650.0,3358.0,2898.0,3451.0,5234.0,4079.0,45.0,15.0,6168.0,5124.0,11025.0,1492.0,8312.0,14460.0,566.0,11489.0,6760.0,1761.0,1686.0,514.0,31
1450,1524.0,113713,2022,1,발달상권,2120104,연남동(홍대),CS100004,양식음식점,111108,64676.0,46432.0,11153.0,12522.0,13126.0,13530.0,14345.0,25182.0,21250.0,7.0,1100.0,30200.0,27085.0,47139.0,5577.0,39702.0,67652.0,3106.0,56241.0,27898.0,9436.0,8561.0,2114.0,118
1451,1525.0,113758,2022,1,발달상권,2120103,홍대입구역(홍대),CS100004,양식음식점,123076,72852.0,50224.0,11604.0,14888.0,14803.0,14468.0,17089.0,28169.0,22055.0,495.0,191.0,33438.0,26202.0,53538.0,9212.0,49250.0,67848.0,5288.0,57144.0,29910.0,12082.0,10128.0,2543.0,141
1452,1526.0,113795,2022,1,발달상권,2120102,서교동(홍대),CS100004,양식음식점,13066,10078.0,2988.0,2090.0,1229.0,2283.0,2345.0,2131.0,1635.0,1353.0,0.0,411.0,8246.0,2394.0,1860.0,155.0,5017.0,6120.0,18.0,3884.0,4139.0,1453.0,1084.0,560.0,19
1453,1527.0,113837,2022,1,발달상권,2120101,합정역,CS100004,양식음식점,59083,40134.0,18949.0,7489.0,7740.0,8172.0,7909.0,8824.0,10207.0,8742.0,0.0,54.0,21553.0,11995.0,24381.0,1100.0,25286.0,29742.0,732.0,21850.0,17877.0,7014.0,5613.0,1939.0,28
1454,1528.0,113915,2022,1,발달상권,2120098,DMC(디지털미디어시티),CS100004,양식음식점,46282,39659.0,6623.0,8228.0,7705.0,7964.0,8535.0,7227.0,3372.0,3251.0,0.0,162.0,30714.0,4360.0,10798.0,248.0,18510.0,17029.0,109.0,9765.0,12669.0,8092.0,4015.0,891.0,22
1455,1529.0,113934,2022,1,발달상권,2120097,충정로역,CS100004,양식음식점,4300,3667.0,633.0,703.0,699.0,618.0,813.0,834.0,422.0,211.0,27.0,24.0,2148.0,368.0,1421.0,312.0,1542.0,1929.0,4.0,748.0,1028.0,878.0,638.0,177.0,6
1456,1530.0,113965,2022,1,발달상권,2120096,"이화여대(이대역, 이대)",CS100004,양식음식점,8255,6054.0,2201.0,1217.0,1057.0,1306.0,1246.0,1228.0,1120.0,1081.0,0.0,82.0,3196.0,1673.0,3264.0,40.0,3514.0,4377.0,212.0,2790.0,1670.0,1231.0,1366.0,621.0,10
1457,1531.0,114008,2022,1,발달상권,2120095,홍제역,CS100004,양식음식점,3947,3190.0,757.0,627.0,488.0,746.0,732.0,597.0,486.0,271.0,0.0,23.0,1330.0,284.0,2083.0,227.0,1909.0,1906.0,205.0,909.0,929.0,771.0,834.0,167.0,5
1458,1532.0,114056,2022,1,발달상권,2120094,"신촌역(신촌역, 신촌로터리)",CS100004,양식음식점,93492,58411.0,35081.0,10447.0,10617.0,13356.0,12543.0,11448.0,17387.0,17694.0,20.0,85.0,24312.0,21055.0,43947.0,4073.0,37622.0,54777.0,2523.0,51685.0,18550.0,7193.0,9939.0,2509.0,68
1459,1533.0,114100,2022,1,발달상권,2120093,연희동,CS100004,양식음식점,19421,11895.0,7526.0,1834.0,2150.0,2561.0,2367.0,2983.0,4285.0,3241.0,25.0,94.0,6015.0,4662.0,7984.0,641.0,7511.0,10526.0,95.0,3843.0,6066.0,3739.0,2797.0,1495.0,22
1460,1534.0,114165,2022,1,발달상권,2120091,본서부병원,CS100004,양식음식점,12020,8640.0,3380.0,1482.0,1755.0,2064.0,1561.0,1778.0,1837.0,1543.0,0.0,42.0,5354.0,2407.0,4169.0,48.0,5883.0,5492.0,253.0,2360.0,2429.0,2639.0,2539.0,1156.0,6
1461,1535.0,114209,2022,1,발달상권,2120090,연신내역,CS100004,양식음식점,1573,850.0,575.0,32.0,225.0,192.0,157.0,244.0,305.0,270.0,97.0,0.0,138.0,55.0,727.0,546.0,943.0,482.0,10.0,342.0,537.0,266.0,173.0,107.0,9
1462,1537.0,114281,2022,1,발달상권,2120087,응암역,CS100004,양식음식점,4901,3105.0,1796.0,664.0,513.0,591.0,696.0,641.0,909.0,887.0,0.0,6.0,1761.0,1300.0,1717.0,117.0,2095.0,2806.0,45.0,714.0,1621.0,1281.0,781.0,459.0,5
1463,1538.0,114351,2022,1,발달상권,2120085,은행사거리,CS100004,양식음식점,35018,24971.0,10047.0,5026.0,4116.0,5780.0,5119.0,4930.0,5468.0,4579.0,0.0,51.0,12622.0,7022.0,14522.0,801.0,15881.0,17429.0,2717.0,3394.0,3156.0,13272.0,9331.0,1444.0,11
1464,1539.0,114385,2022,1,발달상권,2120084,공릉역,CS100004,양식음식점,2456,1685.0,771.0,268.0,327.0,387.0,349.0,354.0,348.0,423.0,0.0,0.0,724.0,616.0,1063.0,53.0,1040.0,1207.0,139.0,757.0,262.0,457.0,521.0,113.0,*
1465,1540.0,114427,2022,1,발달상권,2120083,등나무근린공원,CS100004,양식음식점,5759,4470.0,1289.0,837.0,763.0,941.0,925.0,1004.0,899.0,390.0,0.0,20.0,2309.0,1174.0,2168.0,88.0,2383.0,3376.0,203.0,798.0,1081.0,2037.0,1227.0,413.0,5
1466,1541.0,114512,2022,1,발달상권,2120081,노원역,CS100004,양식음식점,66682,45079.0,21603.0,8629.0,8603.0,10149.0,8824.0,8874.0,11969.0,9634.0,838.0,1070.0,23048.0,15729.0,23922.0,2075.0,29348.0,35649.0,938.0,17067.0,15711.0,15028.0,12764.0,3488.0,31
1467,1542.0,114554,2022,1,발달상권,2120080,마들역,CS100004,양식음식점,3407,2802.0,605.0,605.0,578.0,527.0,553.0,539.0,399.0,206.0,,,1582.0,475.0,1324.0,26.0,1841.0,1566.0,66.0,392.0,1187.0,862.0,704.0,196.0,*
