기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
2022,4,전통시장,2130275,강남골목시장,CS100002,중식음식점,198717949,67521368,131196581,12905983,512821,512821,25641025,27948718,81538462,49658119,,,35384615,31111111,111880342,19829060,98376068,99829060,,,14786325,42307692,111111111,30000000,*
2022,4,전통시장,2130274,사당1동먹자골목상점가(사당1동먹자골목),CS100002,중식음식점,489627059,343209878,146417181,46277242,65768365,69494641,76104377,85565253,99595106,46822075,5462488,,44344953,52280184,228702737,158836697,269382906,136665996,486122,94206172,158616815,57575832,54518480,40645481,5
2022,4,전통시장,2130273,남성사계시장(남성시장),CS100002,중식음식점,572962374,381506037,191456337,60713691,67608441,79004695,69085593,105093617,99582277,91874060,961487,63203,71517523,60772680,328241161,111406320,308652990,219452137,26603049,132899325,132047257,113269433,77265177,46020887,8
2022,4,전통시장,2130272,사당시장,CS100002,중식음식점,29040871,14732910,14307961,1130359,2014249,3590801,4304712,3692789,7644793,6663168,,,14422699,5460567,6471941,2685664,15714536,10160480,,2150231,1083614,4712662,7381328,10547181,*
2022,4,전통시장,2130265,노량진중앙시장,CS100002,중식음식점,119222488,78656146,40566342,6994272,16676343,17009912,14854539,23121080,27386493,13179849,4278672,635065,18367712,6908741,45473665,43558633,77246600,31111355,1024230,35328016,37181894,10888054,18038420,5897340,4
2022,4,전통시장,2130261,성대전통시장(성대시장),CS100002,중식음식점,270808741,180271124,90537617,38959605,34321271,29730663,34794058,42465527,44696051,45841566,,1017528,91442923,54009061,116167711,8171518,155771894,112264390,3896702,40477363,55994928,59494146,56211415,51961731,3
2022,4,전통시장,2130255,영등포전통시장,CS100002,중식음식점,163076913,117276093,45800820,25444900,15573011,25249834,24658165,26350183,22900410,22900410,,204766,70536583,22296888,47138266,,86885550,28869885,75440,10658622,36608971,33235717,17491348,17685337,*
2022,4,전통시장,2130244,대림중앙시장,CS100002,중식음식점,1045039617,556989201,488050416,129179344,111354242,120869671,94514255,101071689,220722698,267327718,19948574,104934925,265584760,207965866,351089327,95516165,638706805,404972512,748362,63541404,230516343,232734608,361367063,154771537,24
2022,4,전통시장,2130242,대림중앙 골목형상점가,CS100002,중식음식점,2060618383,1012141843,1048476540,201711519,191709101,219158991,188227681,211334551,469100658,579375882,39754516,18351293,399668412,424321513,824731426,353791223,1187367854,812879385,594530,222370209,488154933,421550001,586279555,281298009,17
2022,4,전통시장,2130241,선유도역 골목형상점가,CS100002,중식음식점,626783534,500082018,126701516,81829487,95226170,99796919,118598593,104630849,63082523,63618993,,1229955,275331666,54899174,245618587,49704152,257318847,163383426,9223566,75148284,116566033,99576316,75490755,44697314,12
