기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,전통시장,2130218,신월중앙시장,CS100009,호프-간이주점,1243,989,254,72,236,228,244,209,218,36,327,,,,273,643,807,263,27,36,200,117,336,354,3
2022,4,전통시장,2130217,화곡본동시장,CS100009,호프-간이주점,6493,4230,2263,613,868,800,768,1181,1479,784,1334,,,9,1859,3291,3790,2703,70,1695,2513,1036,596,583,7
2022,4,전통시장,2130216,화곡중앙시장,CS100009,호프-간이주점,350,256,94,47,70,93,23,23,47,47,,,,,116,187,280,23,,,46,23,117,117,*
2022,4,전통시장,2130215,대원종합시장,CS100009,호프-간이주점,117,79,38,12,12,25,6,24,19,19,18,,,,37,43,92,6,,,,12,68,18,*
2022,4,전통시장,2130212,공항시장,CS100009,호프-간이주점,1958,1431,527,175,357,294,317,288,328,199,85,6,17,97,605,1148,1307,498,,221,396,435,351,401,6
2022,4,전통시장,2130210,목2동시장,CS100009,호프-간이주점,14193,9755,4438,1868,1762,1944,1949,2232,2609,1829,3165,,,133,4105,6790,9144,4623,85,3142,4009,2092,2533,1908,9
2022,4,전통시장,2130208,목동깨비시장(목3동시장),CS100009,호프-간이주점,8948,6250,2698,1101,1104,1185,1324,1536,1748,950,1603,42,799,968,2928,2608,5196,3440,67,1685,2442,1759,1561,1123,10
2022,4,전통시장,2130207,신정1동 골목시장(신정제일시장),CS100009,호프-간이주점,1274,1009,265,165,224,198,190,232,190,75,16,,182,91,488,497,922,302,,101,85,327,411,301,5
2022,4,전통시장,2130206,신정3동 골목시장,CS100009,호프-간이주점,502,352,150,57,51,59,69,116,86,64,121,,,,104,277,288,197,6,139,139,126,63,12,*
2022,4,전통시장,2130204,경창시장,CS100009,호프-간이주점,1529,958,571,150,178,264,153,213,325,246,170,,,16,440,903,952,564,9,97,356,569,277,209,5
2022,4,전통시장,2130203,서서울 골목형상점가,CS100009,호프-간이주점,2405,2209,196,309,500,458,418,524,98,98,139,,1244,168,579,177,1221,918,,234,797,292,299,515,4
2022,4,전통시장,2130202,신영시장,CS100009,호프-간이주점,503,391,112,70,91,94,90,46,59,53,30,,59,115,209,90,426,77,,,,31,208,264,3
2022,4,전통시장,2130199,신월3동 골목시장,CS100009,호프-간이주점,117,77,40,16,16,15,10,20,30,10,15,,,25,41,36,67,5,,,,,57,15,*
2022,4,전통시장,2130198,아현시장,CS100009,호프-간이주점,2007,1440,567,250,296,185,326,383,379,188,353,,,8,619,1027,1406,536,,344,459,418,418,306,9
2022,4,전통시장,2130197,마포시장,CS100009,호프-간이주점,21321,16058,5263,2903,2794,3080,3265,4016,3382,1881,253,7,2595,958,6748,10760,13197,4785,14,2330,4959,4306,4221,2151,4
2022,4,전통시장,2130196,공덕시장,CS100009,호프-간이주점,4679,4275,404,607,764,765,1261,878,382,22,404,,427,877,855,2116,3442,449,,67,269,494,1462,1597,4
2022,4,전통시장,2130195,도화동 상점가,CS100009,호프-간이주점,48804,40571,8233,6391,7679,8267,8626,9608,6037,2196,6549,104,8356,604,9590,23601,28338,12999,153,7197,12783,8122,8360,4719,44
2022,4,전통시장,2130194,용강동 상점가,CS100009,호프-간이주점,16191,13578,2613,2142,2708,2822,2877,3029,1956,657,1793,,,49,4232,10117,8393,2520,42,1200,3054,3133,2692,793,17
2022,4,전통시장,2130192,동진시장,CS100009,호프-간이주점,5928,3089,2839,653,496,465,634,841,1635,1204,2007,6,6,50,1129,2730,3850,2078,,2617,2457,566,224,64,4
2022,4,전통시장,2130191,홍대 걷고싶은 거리,CS100009,호프-간이주점,66942,38600,28342,7000,6664,7023,7450,10463,16315,12027,15664,1448,2254,4081,15581,27914,34530,31635,3009,36226,14320,6673,4814,1122,45
2022,4,전통시장,2130190,홍대소상공인상점가,CS100009,호프-간이주점,41185,17500,23685,3522,2368,2580,2957,6073,14001,9684,20328,382,48,100,3905,16422,24268,16814,1455,25270,9703,2069,2133,452,21
2022,4,전통시장,2130189,서교시장,CS100009,호프-간이주점,2691,1231,1460,235,83,187,350,376,744,716,970,894,,,163,664,1554,1137,90,1841,481,95,164,20,*
2022,4,전통시장,2130188,합정시장,CS100009,호프-간이주점,3432,2572,860,389,557,481,480,665,599,261,582,,,84,1181,1585,1965,1299,8,870,1018,463,511,393,*
