,index,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출금액,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수
1091,1091,2022,2,발달상권,2120213,삼성중앙역,CS100003,일식음식점,1306497491,1141457917.0,165039574.0,188954211.0,213021541.0,252294160.0,229976214.0,257211791.0,163473218.0,1566356.0,5406958.0,0.0,270364727.0,39761202.0,467768373.0,521629875.0,536849336.0,332243063.0,2064824.0,175304610.0,329748751.0,198550088.0,95218384.0,68205742.0,13
1092,1092,2022,2,발달상권,2120212,한티역,CS100003,일식음식점,552230649,354660208.0,196898952.0,67884101.0,73635630.0,67978899.0,65690839.0,79470739.0,99342466.0,97556486.0,671489.0,2442735.0,195895754.0,81152760.0,244958351.0,27109560.0,241619644.0,230319253.0,26632620.0,67546792.0,66110542.0,152980550.0,115204250.0,43464146.0,11
1093,1093,2022,2,발달상권,2120211,도성초등학교,CS100003,일식음식점,329232303,237658349.0,91573954.0,39397736.0,46196236.0,52266395.0,46928922.0,52869060.0,62768061.0,28805893.0,0.0,388354.0,154555992.0,38435483.0,135312839.0,539635.0,143303780.0,137466699.0,22709106.0,48828607.0,46462120.0,83533870.0,66077704.0,13159071.0,8
1094,1094,2022,2,발달상권,2120210,선릉역,CS100003,일식음식점,3270080453,2715996706.0,554083747.0,487056918.0,564343667.0,490280190.0,563835423.0,610480508.0,369607298.0,184476449.0,223196389.0,3314895.0,944227234.0,190206649.0,966660770.0,942474516.0,1485358257.0,813704676.0,27799816.0,474393395.0,816721393.0,449798735.0,317114999.0,213234599.0,36
1095,1095,2022,2,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",CS100003,일식음식점,611998137,576275043.0,35723094.0,115891831.0,116464662.0,109228073.0,101657685.0,133032792.0,33904987.0,1818107.0,0.0,709024.0,349089270.0,28277577.0,213179954.0,18924205.0,217098587.0,192731330.0,1285332.0,61136037.0,94406782.0,96348637.0,89345549.0,67307581.0,11
1096,1096,2022,2,발달상권,2120208,청담사거리(청담동명품거리),CS100003,일식음식점,3100419088,2464987275.0,635431813.0,442506627.0,527232220.0,442889682.0,508877858.0,543480888.0,440294976.0,195136837.0,170306458.0,0.0,271688589.0,71167194.0,969304744.0,1617952103.0,1246238122.0,712733592.0,2632330.0,303628954.0,706405389.0,520104804.0,286976429.0,139223806.0,31
1097,1097,2022,2,발달상권,2120207,선정릉역,CS100003,일식음식점,705165776,669719643.0,35446133.0,114891696.0,144241445.0,149889627.0,119101004.0,141595871.0,34563475.0,882658.0,8120997.0,268035.0,336482729.0,51818056.0,172903335.0,135572624.0,338893020.0,213954546.0,403411.0,149562693.0,202952713.0,113247384.0,62705088.0,23976278.0,15
1098,1098,2022,2,발달상권,2120206,개나리아파트,CS100003,일식음식점,244094861,207939744.0,34830754.0,40304788.0,40937539.0,35684232.0,37450049.0,53563136.0,19100261.0,15730493.0,1103636.0,2486859.0,93191028.0,21072090.0,94103367.0,30813518.0,103991944.0,37920934.0,1324363.0,4664702.0,18393934.0,29253712.0,39966339.0,49634191.0,9
1099,1099,2022,2,발달상권,2120205,매봉역,CS100003,일식음식점,1196192330,948528240.0,247664090.0,150073392.0,177139736.0,193792509.0,196517446.0,231005157.0,201874898.0,45789192.0,54134064.0,715400.0,412076294.0,93070765.0,381828974.0,254366833.0,573022017.0,337214118.0,7509121.0,223681539.0,300477982.0,147545000.0,135950092.0,95072400.0,17
1100,1100,2022,2,발달상권,2120204,르네상스호텔사거리,CS100003,일식음식점,1804119577,1624286494.0,179833083.0,326887384.0,393608678.0,255425061.0,308183675.0,340181696.0,71010361.0,108822722.0,2458915.0,0.0,666405518.0,131958417.0,605731729.0,397564998.0,620721786.0,284861465.0,2645387.0,105385445.0,262054183.0,264839392.0,139516182.0,131142659.0,11
1101,1101,2022,2,발달상권,2120203,강남구청역,CS100003,일식음식점,1545678442,1294364091.0,251314351.0,207889120.0,309965896.0,255700563.0,261165322.0,259643190.0,192780282.0,58534069.0,35307240.0,907304.0,379480848.0,135689521.0,624565854.0,369727675.0,637087273.0,386593725.0,2789450.0,251941568.0,324165631.0,191244657.0,169274119.0,84265574.0,20
