,기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
662,2022,3,발달상권,2120125,구로역,CS100003,일식음식점,8537,8266,271,1371.0,1818.0,1745.0,1706.0,1626.0,271.0,0.0,0.0,15.0,6856.0,609.0,977.0,95.0,4268,1420,25.0,688.0,629.0,883.0,1407.0,2057.0,6
663,2022,3,발달상권,2120124,개봉동 현대아파트,CS100003,일식음식점,329,259,70,24.0,55.0,40.0,61.0,79.0,62.0,8.0,0.0,0.0,0.0,0.0,188.0,141.0,258,63,0.0,8.0,102.0,102.0,85.0,24.0,7
664,2022,3,발달상권,2120122,강서구청,CS100003,일식음식점,14975,11058,3917,1835.0,2173.0,1897.0,2335.0,2818.0,2454.0,1463.0,2197.0,15.0,2735.0,735.0,4515.0,4778.0,8520,5385,135.0,2846.0,4367.0,2547.0,2434.0,1579.0,26
665,2022,3,발달상권,2120121,까치산역,CS100003,일식음식점,8798,6226,2572,1338.0,1205.0,1245.0,1225.0,1213.0,1296.0,1276.0,0.0,10.0,2939.0,2041.0,3460.0,358.0,4773,4025,168.0,2818.0,2537.0,1394.0,1123.0,758.0,8
666,2022,3,발달상권,2120120,화곡역,CS100003,일식음식점,6292,5062,1230,689.0,1140.0,838.0,1088.0,1307.0,657.0,573.0,0.0,38.0,2615.0,857.0,2608.0,174.0,3336,2660,64.0,1797.0,1733.0,1114.0,824.0,464.0,6
667,2022,3,발달상권,2120119,발산역(마곡),CS100003,일식음식점,16016,11648,4368,2002.0,2187.0,2275.0,2346.0,2838.0,2366.0,2002.0,258.0,60.0,5339.0,1772.0,5685.0,2902.0,8198,5007,110.0,2027.0,3489.0,3303.0,2409.0,1870.0,75
668,2022,3,발달상권,2120114,목동신시가지,CS100003,일식음식점,19575,14202,5373,2784.0,2560.0,2723.0,2628.0,3507.0,2663.0,2710.0,31.0,5.0,6417.0,3134.0,8442.0,1577.0,8724,9306,1921.0,1521.0,1959.0,6111.0,5147.0,1374.0,24
669,2022,3,발달상권,2120113,오목교역,CS100003,일식음식점,3241,2516,725,502.0,487.0,481.0,442.0,604.0,590.0,135.0,0.0,11.0,1464.0,371.0,1311.0,84.0,1547,1187,111.0,536.0,706.0,648.0,575.0,154.0,15
670,2022,3,발달상권,2120112,등촌역,CS100003,일식음식점,5270,4246,1024,773.0,529.0,881.0,986.0,1077.0,761.0,263.0,19.0,0.0,1776.0,410.0,2582.0,483.0,2332,2383,43.0,752.0,1416.0,838.0,1006.0,702.0,11
671,2022,3,발달상권,2120110,목동역 8번출구,CS100003,일식음식점,7281,5214,2067,830.0,923.0,1252.0,956.0,1253.0,1278.0,789.0,294.0,6.0,1599.0,807.0,2882.0,1699.0,4465,2286,132.0,1200.0,1381.0,1566.0,1686.0,788.0,11
672,2022,3,발달상권,2120109,서울남부지방법원,CS100003,일식음식점,5815,4082,1733,791.0,747.0,890.0,798.0,856.0,973.0,760.0,0.0,0.0,2377.0,477.0,2716.0,245.0,2692,2724,6.0,593.0,688.0,1353.0,1700.0,1075.0,6
673,2022,3,발달상권,2120108,신정네거리역,CS100003,일식음식점,1721,1297,424,149.0,172.0,299.0,206.0,471.0,390.0,34.0,114.0,,11.0,,562.0,1034.0,926,783,11.0,526.0,667.0,308.0,150.0,46.0,6
674,2022,3,발달상권,2120107,공덕역(공덕오거리),CS100003,일식음식점,6362,5857,505,837.0,1061.0,1269.0,1316.0,1374.0,428.0,77.0,0.0,0.0,3764.0,215.0,1515.0,868.0,2545,1871,16.0,849.0,1474.0,1012.0,769.0,293.0,22
675,2022,3,발달상권,2120106,마포역,CS100003,일식음식점,17853,16107,1746,2772.0,3083.0,3124.0,3632.0,3496.0,1361.0,385.0,0.0,53.0,10575.0,1368.0,5299.0,558.0,6685,7200,31.0,2716.0,4274.0,3042.0,2274.0,1547.0,9
676,2022,3,발달상권,2120105,상수역(홍대),CS100003,일식음식점,76172,54078,22094,9895.0,9800.0,10349.0,11208.0,12826.0,11423.0,10671.0,1610.0,16.0,28240.0,10171.0,31567.0,4568.0,35894,38712,2809.0,39412.0,18830.0,5977.0,6087.0,1488.0,31
677,2022,3,발달상권,2120104,연남동(홍대),CS100003,일식음식점,117177,77339,39838,13079.0,12887.0,15058.0,16752.0,19563.0,23450.0,16388.0,2447.0,67.0,36213.0,16590.0,46235.0,15625.0,50513,60923,2983.0,56036.0,27834.0,11271.0,9702.0,3615.0,82
678,2022,3,발달상권,2120103,홍대입구역(홍대),CS100003,일식음식점,178417,117318,61099,21014.0,21655.0,20998.0,22844.0,30807.0,34667.0,26432.0,9077.0,98.0,46737.0,23545.0,67602.0,31358.0,81154,89129,6046.0,84975.0,45346.0,16670.0,13736.0,3517.0,110
679,2022,3,발달상권,2120102,서교동(홍대),CS100003,일식음식점,24244,19414,4830,3661.0,3933.0,3750.0,3919.0,4151.0,2881.0,1949.0,160.0,5.0,12080.0,3059.0,7436.0,1504.0,11321,9900,257.0,7611.0,6110.0,3358.0,2429.0,1455.0,12
680,2022,3,발달상권,2120101,합정역,CS100003,일식음식점,39121,27549,11572,2564.0,5471.0,6236.0,6287.0,6991.0,6287.0,5285.0,12.0,0.0,16224.0,5988.0,16142.0,755.0,15852,20630,614.0,15283.0,10040.0,4445.0,4214.0,1897.0,26
681,2022,3,발달상권,2120100,망원역,CS100003,일식음식점,12448,7574,4874,1461.0,680.0,1672.0,1840.0,1921.0,2539.0,2335.0,502.0,369.0,3764.0,1262.0,4840.0,2080.0,6474,5732,194.0,4946.0,4533.0,1329.0,996.0,207.0,6
682,2022,3,발달상권,2120099,월드컵경기장역(월드컵경기장),CS100003,일식음식점,205,168,37,56.0,38.0,28.0,46.0,,18.0,19.0,,,130.0,28.0,47.0,,46,9,,,,37.0,19.0,,3
683,2022,3,발달상권,2120098,DMC(디지털미디어시티),CS100003,일식음식점,30219,28922,1297,5233.0,5845.0,6152.0,6028.0,5664.0,982.0,315.0,31.0,49.0,22478.0,1313.0,5166.0,1182.0,13057,9066,49.0,6377.0,7572.0,5348.0,2238.0,539.0,27
684,2022,3,발달상권,2120097,충정로역,CS100003,일식음식점,3790,3760,30,765.0,805.0,705.0,745.0,740.0,30.0,0.0,0.0,0.0,2835.0,120.0,665.0,170.0,1355,1790,0.0,635.0,1200.0,735.0,425.0,150.0,*
