,기준분기코드,상권구분코드명,상권코드,상권코드명,집객시설수,관공서수,은행수,대학교수,백화점수,슈퍼마켓수,의료시설수,교육시설수,여가시설수,교통시설수
4064,2,발달상권,2120235,문정역,55,,5.0,,,,,,,
4065,2,골목상권,2110448,상신초등학교입구,11,,,,,,,,,
4066,2,발달상권,2120126,디지털단지오거리,11,,,,,,,,,
4067,2,골목상권,2110818,신대방역 3번,6,,,,,,,,,
4068,2,골목상권,2111037,Sh수협은행 오금동금융센터(아랫말어린이공원),3,,1.0,,,,,,,
4069,2,골목상권,2111029,오금역 4번,5,1.0,,,,,,,,
4070,2,골목상권,2110183,한국의류시험연구원,7,,,,,,,,,
4071,2,골목상권,2111076,둔촌2동주민센터,16,3.0,1.0,,,,,,,
4072,2,골목상권,2111074,명일역 1번,2,,,,,,,,,
4073,2,골목상권,2110059,새남터성지,9,1.0,,,,,,,,
4074,2,골목상권,2110261,사가정역 4번,10,,,,,,,,,
4075,2,골목상권,2110310,길음역 10번,6,,,,,,,,,
4076,2,골목상권,2110337,아카데미하우스,15,,,,,,,,,
4077,2,전통시장,2130198,아현시장,8,,,,,,,,,
4078,2,골목상권,2110899,낙성대역 5번(관악중학교),6,,,,,,,,,
4079,2,골목상권,2110618,강서고등학교,4,,,,,,,,,
4080,2,골목상권,2110673,뜸부기어린이공원,8,,,,,,,,,
4081,2,골목상권,2110661,강서새말어린이공원,3,,,,,,,,,
4082,2,전통시장,2130166,응암시장(신응암시장),4,,,,,,,,,
4083,2,골목상권,2110099,유엔빌리지길,7,4.0,,,,1.0,,,,
4084,2,골목상권,2110487,불광역 8번,16,,1.0,,,,,,,
4085,2,골목상권,2110932,서울시인재개발원,4,,,1.0,,,,,,
4086,2,골목상권,2110946,청계산원터골,1,,,,,,,,,
4087,2,골목상권,2110207,시립대앞사거리,2,,,,,,,,,
4088,2,전통시장,2130325,명일전통시장,2,,,,,,,,,
4089,2,골목상권,2110172,광진초등학교,10,1.0,1.0,,,,,,,
4090,2,골목상권,2110556,절두산순교성지,3,,,,,,,,,
4091,2,골목상권,2110779,대림갑을명가아파트,3,,,,,,,,,
