기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,2,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",CS100002,중식음식점,17768,14370,3398,2788,2931,3011,2977,2663,1751,1647,,52,10008,1983,5451,274,8936,5790,81,1998,3660,3883,3330,1771,3
2022,2,발달상권,2120208,청담사거리(청담동명품거리),CS100002,중식음식점,22209,16094,6115,2868,3152,3303,3363,3408,3209,2906,11,23,8621,3648,7183,2723,8940,8475,152,3449,4765,3569,3405,2066,12
2022,2,발달상권,2120207,선정릉역,CS100002,중식음식점,24892,22970,1922,4376,4834,4885,4218,4657,1762,160,,21,17486,2098,5016,271,13850,6878,79,4253,6297,4731,3730,1639,6
2022,2,발달상권,2120206,개나리아파트,CS100002,중식음식점,11834,9872,1962,1618,2008,2099,1995,2152,973,989,,14,7784,1847,2124,65,6990,3614,78,1531,2168,3298,2222,1305,9
2022,2,발달상권,2120205,매봉역,CS100002,중식음식점,15328,13655,1673,2335,2897,2723,2715,2985,1080,593,,66,10351,1363,3400,148,8759,3611,108,2455,3144,3191,2491,987,9
2022,2,발달상권,2120204,르네상스호텔사거리,CS100002,중식음식점,9738,9354,384,1848,2002,2031,1807,1666,192,192,,10,7495,443,1496,102,4977,2830,5,1516,3085,1924,865,411,4
2022,2,발달상권,2120203,강남구청역,CS100002,중식음식점,15196,13276,1920,2316,2661,2522,3004,2773,1197,723,,68,10432,1685,2831,180,7718,5070,57,2751,4102,2830,1975,1075,13
2022,2,발달상권,2120202,압구정로데오역(압구정로데오),CS100002,중식음식점,3753,2508,1245,502,448,491,486,581,697,548,,,1304,344,1988,117,1332,1979,28,1067,1006,398,465,348,11
2022,2,발달상권,2120201,도곡1동,CS100002,중식음식점,5960,5570,390,1021,1116,1216,1023,1194,195,195,,8,4205,429,1053,70,3471,1529,16,725,1443,1389,866,561,7
2022,2,발달상권,2120200,학동사거리,CS100002,중식음식점,7674,5626,2048,1185,964,1186,1137,1154,940,1108,,,3560,771,2792,551,3426,2148,,625,1311,1041,1216,1382,14
2022,2,발달상권,2120198,구역삼세무서,CS100002,중식음식점,14592,13808,784,2378,3074,2949,2784,2623,392,392,,14,11504,1050,1564,68,8396,2811,7,2070,4053,2534,1745,802,10
2022,2,발달상권,2120197,역삼역,CS100002,중식음식점,98948,90258,8690,16883,19377,18347,18498,17153,4730,3960,1634,948,65329,6681,19497,4859,50469,28662,285,19344,26914,18007,10770,3814,40
2022,2,발달상권,2120196,서울세관,CS100002,중식음식점,9239,8501,738,1710,1912,1541,1791,1547,387,351,6,,6968,796,1372,97,4855,1720,6,1280,2209,1674,1100,306,7
2022,2,발달상권,2120195,성수대교남단,CS100002,중식음식점,5429,4162,1267,893,858,816,799,796,631,636,,10,3047,842,1463,67,2510,1637,30,354,698,1134,779,1150,4
2022,2,발달상권,2120193,도산공원교차로,CS100002,중식음식점,13463,11426,2037,2366,2244,2170,2310,2336,1148,889,,22,8873,1894,2530,144,7458,3229,,1988,3758,2240,1811,893,6
2022,2,발달상권,2120192,뱅뱅사거리,CS100002,중식음식점,42244,37508,4736,6853,7784,7631,7938,7302,2528,2208,,76,29467,3635,8336,730,22531,10031,129,5760,9521,8227,5122,3806,12
2022,2,발달상권,2120191,학동역,CS100002,중식음식점,29634,25691,3943,5225,5074,5286,5191,4915,2084,1859,,9,21026,2269,5744,586,13916,7715,98,4567,7070,5025,3485,1389,9
2022,2,발달상권,2120190,강남을지병원,CS100002,중식음식점,32054,27664,4390,5495,5735,5644,5575,5215,2438,1952,,115,21403,4277,5892,367,16825,7385,72,4352,6881,5608,4810,2490,10
2022,2,발달상권,2120189,강남역,CS100002,중식음식점,122549,101020,21529,19092,21155,20965,18943,20865,11935,9594,597,430,64097,13495,36531,7399,53938,54841,2911,39219,28892,17720,15135,4899,41
2022,2,발달상권,2120188,압구정역,CS100002,중식음식점,39261,31297,7964,5982,6720,6296,6122,6177,4736,3228,,40,22769,4664,10554,1234,21298,12792,571,5209,8336,8793,5791,5385,13
2022,2,발달상권,2120187,신논현역,CS100002,중식음식점,37689,30083,7606,5439,6331,6089,5922,6302,4894,2712,1371,585,18690,4247,10798,1998,20755,10679,110,6164,8825,7368,5643,3326,22
2022,2,발달상권,2120186,가로수길,CS100002,중식음식점,17892,14395,3497,2531,2966,2883,2941,3074,1902,1595,338,7,8164,1969,5988,1426,8763,6080,157,3791,4172,2794,2153,1778,13
2022,2,발달상권,2120185,논현역,CS100002,중식음식점,54473,46682,7791,8485,8873,9635,9855,9834,5524,2267,1510,193,28675,4831,12682,6582,28583,15525,160,9696,12821,10970,6779,3680,16
2022,2,발달상권,2120184,포이사거리(삼호물산),CS100002,중식음식점,35921,29255,6666,5317,6054,6027,6242,5615,3414,3252,,82,22223,3921,9367,328,18371,6417,176,3154,5572,6661,5890,3335,10
2022,2,발달상권,2120183,양재천카페거리,CS100002,중식음식점,4306,2819,1487,542,635,461,501,680,720,767,,,1665,792,1608,241,1763,1544,4,528,1137,725,551,362,5
2022,2,발달상권,2120182,"양재시민의숲역(양재동꽃시장, aT센터)",CS100002,중식음식점,2652,1725,927,305,308,384,279,449,588,339,12,5,875,386,920,454,1532,717,23,283,668,658,356,259,4
2022,2,발달상권,2120181,교육개발원입구사거리,CS100002,중식음식점,7068,5749,1319,962,1275,1084,1171,1257,592,727,,,4670,604,1615,179,3531,2034,24,943,1695,1473,752,678,3
2022,2,발달상권,2120180,양재화물트럭터미널앞,CS100002,중식음식점,14471,12599,1872,2248,2607,2770,2288,2686,967,905,,,10148,917,3349,57,5511,2434,7,542,2124,2845,1388,1039,*
2022,2,발달상권,2120179,양재역,CS100002,중식음식점,36537,31597,4940,5385,6349,6331,6951,6581,3258,1682,378,128,16994,3191,10885,4961,19302,7912,74,4281,7314,7299,4750,3492,18
2022,2,발달상권,2120178,신사역,CS100002,중식음식점,33101,26734,6367,4550,5451,5236,5713,5784,3786,2581,983,783,16530,4005,8477,2323,16267,9648,148,5630,7921,5938,3906,2374,20
2022,2,발달상권,2120175,남부터미널역,CS100002,중식음식점,25035,21560,3475,4137,4309,4367,4437,4310,1505,1970,,21,17114,1845,5639,416,12137,6494,56,3025,5203,4931,3521,1896,9
2022,2,발달상권,2120173,교대역(법원.검찰청),CS100002,중식음식점,97348,82036,15312,15211,16870,16211,16933,16811,7958,7354,263,235,59740,10749,23635,2726,45998,21437,819,10087,14890,15581,15307,10756,21
