기준년코드,기준분기코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,분기당매출건수,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대00~06매출건수,시간대06~11매출건수,시간대11~14매출건수,시간대14~17매출건수,시간대17~21매출건수,시간대21~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2022,4,발달상권,2120249,고덕역,CS100006,패스트푸드점,48303,34585,13718,6165,7038,7475,7064,6843,7699,6019,,3121,13961,10700,19064,1457,22283,25451,2617,7944,8945,15993,9418,2815,16
2022,4,발달상권,2120248,명일역,CS100006,패스트푸드점,109308,76517,32791,15345,14892,15198,15374,15708,17929,14862,4,4910,29765,22278,38606,13745,56215,52433,2437,19914,26377,32258,19003,8657,16
2022,4,발달상권,2120246,길동역,CS100006,패스트푸드점,181251,126015,55236,23133,25931,25594,25267,26090,30602,24634,23737,19108,43623,26057,41476,27250,113194,62949,2403,39597,54611,39010,24256,16265,12
2022,4,발달상권,2120245,둔촌역,CS100006,패스트푸드점,147861,97019,50842,18928,18476,18895,19519,21201,26684,24158,8397,25116,35180,23250,35798,20120,91410,54802,3068,29844,47316,36938,20607,8439,9
2022,4,발달상권,2120244,암사역,CS100006,패스트푸드점,14480,10309,4171,1915,2078,1777,2212,2327,2279,1892,5,236,3024,2602,6940,1673,7370,7005,392,3250,4008,3017,2363,1343,7
2022,4,발달상권,2120243,천호역,CS100006,패스트푸드점,72449,52187,20262,10399,9977,10495,10177,11139,11007,9255,18,3085,17849,13741,27671,10085,43204,29102,1099,20644,21207,15917,8596,4840,11
2022,4,발달상권,2120242,강동구청역,CS100006,패스트푸드점,14537,10092,4445,2048,2415,1882,1882,1865,2347,2098,,572,4795,3167,5066,937,8164,5950,413,3376,3940,3233,2013,1139,5
2022,4,발달상권,2120241,거여역,CS100006,패스트푸드점,44104,31903,12201,6080,6067,6338,6594,6824,7487,4714,,2023,12381,9902,16448,3350,22512,20475,1142,8562,10636,11635,7880,3133,3
2022,4,발달상권,2120240,개롱역,CS100006,패스트푸드점,9229,6728,2501,1171,1307,1333,1409,1508,1376,1125,,13,2823,2428,3932,33,5032,4055,437,1776,2346,2240,1517,771,4
2022,4,발달상권,2120238,방이역,CS100006,패스트푸드점,9824,6556,3268,1467,1087,1382,1378,1242,1856,1412,,218,2171,2109,4811,515,5331,4410,945,2299,1509,2413,1942,632,8
2022,4,발달상권,2120237,경찰병원역,CS100006,패스트푸드점,5791,3660,2131,486,632,590,1031,921,1222,909,,,1026,933,3178,654,3449,2036,40,782,1313,1195,1309,847,10
2022,4,발달상권,2120236,장지역(가든파이브),CS100006,패스트푸드점,30956,21165,9791,3862,3936,4280,4360,4727,5602,4189,,263,11758,8688,10172,75,15711,13218,172,4336,10445,8233,3837,1904,3
2022,4,발달상권,2120235,문정역,CS100006,패스트푸드점,7899,7488,411,1199,1414,1624,1624,1627,377,34,,826,4587,925,1409,152,2944,3022,,1958,2168,1109,576,159,28
2022,4,발달상권,2120233,몽촌토성역,CS100006,패스트푸드점,21611,14867,6744,2747,2894,3290,2777,3159,3510,3234,,1166,6811,4227,7167,2240,12452,8470,408,5375,6587,4881,2360,1311,5
2022,4,발달상권,2120230,송파사거리(송파역),CS100006,패스트푸드점,28426,19371,9055,3669,3736,3945,4095,3926,4286,4769,,4788,6854,5612,8987,2185,13653,13796,1081,5567,7284,7021,4740,1758,9
2022,4,발달상권,2120229,방이동먹자골목,CS100006,패스트푸드점,26504,18502,8002,3422,3823,3870,3642,3745,4412,3590,,882,8586,5473,8773,2790,16287,9482,520,7661,8135,4870,3263,1322,6
2022,4,발달상권,2120228,석촌역(석촌호수),CS100006,패스트푸드점,38602,27228,11374,5434,5240,5468,5483,5603,5941,5433,2565,2344,9207,6251,13390,4845,22403,15485,641,10257,11736,7798,5239,2214,19
2022,4,발달상권,2120227,잠실역,CS100006,패스트푸드점,528113,346375,181738,67486,64899,69156,67071,77763,96831,84907,,46012,156335,130867,170557,24342,237434,280544,38397,130830,125919,130879,57669,34291,34
2022,4,발달상권,2120226,석촌고분역,CS100006,패스트푸드점,1655,991,664,142,206,105,364,174,311,353,,,290,322,958,85,780,742,31,179,316,358,406,232,7
2022,4,발달상권,2120225,잠실새내역(신천),CS100006,패스트푸드점,141401,99958,41443,19039,19030,20233,19797,21859,23626,17817,10764,19005,35174,24941,36358,15159,72521,65106,4483,32535,35258,35651,19598,10101,21
2022,4,발달상권,2120224,수서역,CS100006,패스트푸드점,81488,61391,20097,11350,12568,11859,12035,13579,11176,8921,,8572,27717,13698,28048,3453,48093,28830,1078,17010,22420,18373,10204,7840,9
2022,4,발달상권,2120222,삼성역,CS100006,패스트푸드점,13574,9629,3945,1755,1739,1947,1986,2202,2277,1668,,104,5724,2270,4833,643,5745,5756,144,2864,4172,2265,1482,572,9
2022,4,발달상권,2120220,대치역,CS100006,패스트푸드점,52178,35071,17107,6741,7004,7306,6542,7478,10117,6990,,2469,13979,12298,18345,5087,27019,24429,4053,7074,7021,16730,12387,4182,7
2022,4,발달상권,2120219,은마아파트,CS100006,패스트푸드점,144672,91573,53099,16417,18516,18342,18834,19464,30047,23052,59,2405,36535,32694,56084,16895,72008,70475,15399,15045,13849,55684,37463,5043,14
2022,4,발달상권,2120218,코엑스,CS100006,패스트푸드점,141401,102263,39138,17457,19358,21332,21505,22611,21336,17802,,19445,44350,30841,40864,5901,67457,63748,2848,41270,43510,24662,12333,6582,10
2022,4,발달상권,2120217,대치사거리,CS100006,패스트푸드점,10781,6734,4047,587,1428,1630,1448,1641,2342,1705,,703,4092,1768,3899,319,5412,4379,735,1843,1161,3558,1992,501,8
2022,4,발달상권,2120215,포스코사거리,CS100006,패스트푸드점,67467,54829,12638,10110,10928,11570,11341,10880,7510,5128,2734,13979,24396,7667,12753,5938,34956,26102,989,18094,22752,11710,5498,2013,16
2022,4,발달상권,2120213,삼성중앙역,CS100006,패스트푸드점,2288,1737,551,303,340,390,285,419,319,232,,109,906,412,725,136,967,980,17,356,311,508,609,149,10
2022,4,발달상권,2120212,한티역,CS100006,패스트푸드점,12955,9521,3434,1988,1891,1747,2030,1865,2304,1130,,1912,4212,2865,3935,31,4404,7830,621,1941,2206,4459,2516,493,13
2022,4,발달상권,2120211,도성초등학교,CS100006,패스트푸드점,12301,8589,3712,1380,1758,1881,1770,1800,2058,1654,,302,4798,2071,4884,246,4870,5527,368,1595,2018,3217,2483,716,10
2022,4,발달상권,2120210,선릉역,CS100006,패스트푸드점,40255,34129,6126,6385,7035,7032,7249,6428,3952,2174,10,4414,17479,5459,11178,1715,18573,17427,952,10213,11536,6871,4612,1819,25
2022,4,발달상권,2120208,청담사거리(청담동명품거리),CS100006,패스트푸드점,1041,829,212,128,131,196,170,204,106,106,,32,521,121,182,79,253,551,6,284,253,140,37,81,6
2022,4,발달상권,2120207,선정릉역,CS100006,패스트푸드점,3231,2520,711,355,542,506,569,548,561,150,4,9,1083,450,1457,228,1203,1084,11,391,579,625,457,225,17
2022,4,발달상권,2120206,개나리아파트,CS100006,패스트푸드점,3353,2441,912,280,457,410,744,550,539,373,,,978,587,1593,195,1396,996,,260,615,522,727,270,8
2022,4,발달상권,2120205,매봉역,CS100006,패스트푸드점,2487,1890,597,412,370,423,341,344,385,212,,216,932,460,830,49,1101,1035,48,636,481,412,455,103,7
2022,4,발달상권,2120204,르네상스호텔사거리,CS100006,패스트푸드점,31967,26742,5225,4635,5586,5509,5727,5285,2911,2314,2232,3252,12557,4234,6787,2905,17805,11362,288,7805,9364,5306,4041,2364,8
2022,4,발달상권,2120203,강남구청역,CS100006,패스트푸드점,11910,9745,2165,1586,1902,2025,2097,2135,1347,818,21,349,5783,2009,3586,162,4695,5102,113,2591,2912,2101,1362,715,15
2022,4,발달상권,2120201,도곡1동,CS100006,패스트푸드점,3422,2299,1123,519,356,545,362,517,587,536,7,9,751,749,1584,322,1567,1234,,306,493,749,690,564,6
2022,4,발달상권,2120200,학동사거리,CS100006,패스트푸드점,47275,32784,14491,5429,6628,6859,6544,7324,8276,6215,6071,5320,13287,6720,10047,5830,28139,16448,592,11607,12582,8461,7936,3410,12
2022,4,발달상권,2120198,구역삼세무서,CS100006,패스트푸드점,27514,18573,8941,2021,3766,3813,4674,4299,4007,4934,,16,5142,4435,15613,2308,13827,8501,333,5670,9384,2950,3093,899,17
2022,4,발달상권,2120197,역삼역,CS100006,패스트푸드점,48749,43458,5291,7407,8957,9414,9369,8311,3069,2222,,1676,26866,5503,14200,504,22919,18226,369,14450,15310,5936,3248,1834,29
2022,4,발달상권,2120196,서울세관,CS100006,패스트푸드점,5241,5123,118,828,1161,1140,1030,964,59,59,,1910,2255,313,704,,2372,2066,7,1147,1356,730,372,827,4
2022,4,발달상권,2120194,언주역(차병원),CS100006,패스트푸드점,45695,39715,5980,7214,8042,7544,8681,8234,3453,2527,137,1976,23099,5152,12752,2579,20993,15859,186,11309,13053,6551,4240,1515,14
2022,4,발달상권,2120193,도산공원교차로,CS100006,패스트푸드점,1547,1354,193,207,294,329,221,303,126,67,238,8,501,48,253,499,776,454,,171,575,222,122,133,4
2022,4,발달상권,2120192,뱅뱅사거리,CS100006,패스트푸드점,58953,47505,11448,8845,9803,9873,9793,9191,6421,5027,2758,10024,19752,7069,15084,4266,28038,24094,752,15682,17805,9049,5791,3054,16
2022,4,발달상권,2120191,학동역,CS100006,패스트푸드점,22464,19174,3290,3397,4065,4023,4039,3650,2045,1245,49,783,8894,3947,5864,2927,11211,8291,260,5790,7034,3624,1962,837,14
2022,4,발달상권,2120190,강남을지병원,CS100006,패스트푸드점,9525,8312,1213,1374,1792,1881,1658,1607,1206,7,7,1334,5906,1205,1073,,5228,2817,51,1320,1387,1497,624,3165,5
2022,4,발달상권,2120189,강남역,CS100006,패스트푸드점,358403,280397,78006,49962,56851,56396,58608,58580,47887,30119,4168,27480,133442,56953,108784,27576,181192,154403,8258,128853,97772,49443,37353,13910,47
2022,4,발달상권,2120188,압구정역,CS100006,패스트푸드점,23000,15943,7057,2966,3090,2975,3330,3582,3993,3064,,1699,8233,4653,7777,638,9537,11036,784,3945,4232,5039,3417,3153,18
2022,4,발달상권,2120187,신논현역,CS100006,패스트푸드점,54360,40491,13869,7298,8535,7997,8520,8141,7539,6330,1883,3063,18144,9449,17880,3941,29831,20546,503,15526,15621,9418,5895,3417,25
2022,4,발달상권,2120186,가로수길,CS100006,패스트푸드점,26314,17142,9172,2970,3145,2976,3823,4228,5149,4023,,,11082,5207,10003,22,11010,11440,335,9103,7478,2880,1948,707,11
2022,4,발달상권,2120185,논현역,CS100006,패스트푸드점,37667,28464,9203,5518,5269,5701,5953,6023,4922,4281,1569,3377,10044,5379,12739,4559,15788,18602,684,10385,10475,5618,4406,2822,12
2022,4,발달상권,2120184,포이사거리(삼호물산),CS100006,패스트푸드점,37472,29202,8270,4896,5280,6317,6607,6102,4286,3984,6,309,16571,5863,13522,1201,14289,13041,447,5405,6999,6325,4572,3582,13
