,상권코드,상권코드명,00시~06시유동인구,06시~11시유동인구,11시~14시유동인구,14시~17시유동인구,17시~21시유동인구,21시~24시유동인구
192,2110092,NH농협은행 보광동지점,20598,304975,175497,216976,276975,107335
193,2110144,어린이대공원역 4번,52661,404863,209512,245679,401372,179114
194,2110059,새남터성지,5983,124842,59549,77107,107205,43696
195,2110044,관성묘,35906,765166,454683,517966,761427,240226
196,2110088,오산고등학교,25556,338977,185651,225199,288322,116327
197,2110770,영등포구청역 6번,93061,1855582,766422,915930,1734410,521565
198,2110976,언북초등학교,30209,400045,189231,216613,339171,128591
199,2110155,광진구청,32731,378964,205409,248560,347862,134204
200,2110267,망우역 2번,96396,979972,545183,654994,962609,302499
201,2110600,신월7동주민센터,46331,338174,154477,183059,269762,101841
202,2110985,청담근린공원,103233,1985552,638819,803461,1631668,445706
203,2110756,문래중학교,47788,968393,375786,433544,802338,245491
204,2110129,성원어린이공원,49419,1356402,562398,728298,1445148,378265
205,2110234,중랑역 4번,82006,682001,354958,421028,655615,227925
206,2110045,동대문역사문화공원역 5번,78520,924790,559297,633227,927670,311047
207,2110398,쌍문2동우체국,41304,390972,225374,274210,401037,152849
208,2110704,고척중학교,58498,582265,324830,408887,543449,210054
209,2110981,국악고교사거리,21412,618102,260845,316725,531276,173223
210,2110381,번동주공2단지,30812,370906,192931,234274,312774,106124
211,2110977,논현로18길,13769,447120,186785,230485,408526,133420
212,2111082,중앙보훈병원,20428,314780,122021,148486,230665,92388
213,2110628,신목동역,141715,1784975,710026,822800,1626325,651999
214,2110126,서울숲역 1번,63745,1975681,915411,1200788,2197143,562818
215,2110556,절두산순교성지,39443,241988,153332,160967,254674,98447
216,2110180,광진정보도서관,455,52657,28416,35699,50657,16124
217,2110577,용강동주민센터,69445,1341811,642161,734430,1386198,478555
218,2110653,화곡역 2번,193705,2404243,988036,1158758,2077397,745679
219,2110148,어린이대공원역 3번,28868,182861,110929,127868,193249,86224
220,2110581,염리초등학교,148252,3544272,1532598,1766141,3683638,1197019
221,2110139,자양4동주민센터,89223,758438,355905,473801,770609,309927
222,2111071,천동초등학교,49920,609717,333484,391297,571652,199165
223,2110102,옥수역 6번,31588,808884,442577,555091,825870,288806
224,2110908,구반포역,20172,209638,104775,139225,156430,51149
225,2111041,거여역 8번,66880,956179,384696,478518,785971,281811
226,2110777,구로세무서,55448,440182,190700,231658,378298,110764
227,2110764,문래역 3번,127849,3183965,1205375,1421150,2920926,840174
228,2110959,신구중학교,111089,2415666,1300351,1535896,2518915,723617
229,2110962,도산공원북측,110475,845309,501592,625860,948887,406510
230,2110070,용산세무서,41834,521342,292410,340719,488989,168942
231,2110604,신월4동주민센터,41166,309362,136785,165672,265196,104454
232,2110602,신월시영아파트중문,83521,659665,316532,366205,527764,197088
233,2110643,강서구다솔마을,2245,54237,23093,27083,35992,12948
234,2110598,신월문화체육센터,38888,270428,133100,164155,250272,97778
235,2110729,가산동우체국,108494,986553,417913,507941,870481,291849
236,2110761,문래동남성맨션,352053,3714342,1801851,2129112,3859837,1527604
237,2110784,신대림초등학교,47875,389240,220501,243791,331001,135273
238,2110818,신대방역 3번,162029,2080373,814567,951534,1754167,752965
239,2110553,가좌역 2번,90886,991437,499534,578420,839815,297024
240,2111045,개미어린이공원,49653,629623,230426,276984,476327,178005
241,2110461,새절역 2번,58441,619707,367919,446894,614301,230702
242,2110476,역촌역 2번,40203,432565,234211,277238,429170,156735
243,2110842,흑리단길,35838,471647,289610,359481,482395,203843
244,2110287,정릉3동주민센터,31202,311927,154692,184708,218570,100928
245,2110312,안암역 2번,41600,331182,231739,267865,324578,162261
246,2110494,증산3교남측,64262,593068,274638,333879,515110,191903
247,2110504,명지전문대,27181,451790,228660,303816,313806,116065
248,2110184,용두사거리,173271,1812404,985075,1111740,1617544,515234
249,2110183,한국의류시험연구원,182762,1743383,970964,1104330,1605532,522162
250,2110244,중화역 4번,87227,1024981,456218,531985,914932,332332
251,2110434,태릉입구역 4번,127173,1119174,596201,681571,1097909,417954
252,2110386,연산군묘,29600,315836,148711,169031,241752,96849
253,2110248,먹골파출소,41124,404752,236687,265892,391948,168853
254,2110132,성수2가3동주민센터,11796,85054,39789,51770,90199,27583
255,2110145,장안초등학교,49525,397334,214848,249867,385595,173783
256,2111080,굽은다리역 3번,64164,832219,429310,510059,766520,287163
257,2110612,신정역 5번,113781,1312816,595160,716238,1189038,438497
258,2110082,용산구청,99147,833951,555341,750410,1298204,587692
259,2110594,신월중학교,27556,252975,110288,157647,189579,67586
260,2110141,건대입구역 1번,229830,2285413,1442897,1817866,3261293,1407224
261,2110103,옥수터널,58069,1250607,636370,770356,1214249,427007
262,2111078,굽은다리역 4번,20742,173166,93058,114899,162422,74168
263,2110644,신광명마을,7449,143053,73109,87819,85868,30074
264,2110096,한남힐사이드아파트,38333,683907,356952,475094,798784,280703
265,2110127,성수1가1동주민센터,30004,813673,423609,557177,904003,232886
266,2110097,한남초등학교,101383,1192717,684658,846654,1394907,555527
267,2110561,상수역 4번,41537,484103,361515,427600,732615,338575
268,2110264,면목역 2번,121035,1665847,734824,895448,1390697,457071
269,2110166,구의1동주민센터,33414,485615,235165,311613,445992,187862
270,2110136,경수초등학교,70664,370722,167010,218120,347761,142476
271,2110438,경춘선숲길 우측,17924,271810,134349,156944,229885,91529
272,2110131,성수동카페거리,83414,2288999,890634,1179186,2494738,643341
273,2110566,경의선책거리,401466,3686230,3077671,3876662,6434319,3023608
274,2110569,홍대땡땡거리,450823,5270221,4285640,5233935,8510164,3797773
275,2110554,망원역 1번,46016,903856,607501,725919,1093949,373936
276,2110054,청구역 3번,100434,1613680,780172,924115,1527064,538169
277,2110582,이대역 5번,77931,1228129,765166,837580,1202256,480332
278,2110650,우장산힐스테이트,82159,1482194,762654,947652,1553347,496063
